,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AAEL000431,95.69007017,0.106199733,0.271034753,0.391830684,0.695183322,0.877865743
AAEL000432,0,NA,NA,NA,NA,NA
AAEL000433,2.631492149,0.10978565,1.256580448,0.087368581,0.930378543,NA
AAEL000434,25.03264113,0.061182956,0.437856387,0.13973293,0.888871007,0.963550076
AAEL000435,30.45119301,0.424503974,0.411890454,1.030623483,0.302717419,0.610137113
AAEL000436,53.70798948,-0.140029944,0.314062165,-0.445866963,0.655693348,0.858642948
AAEL000438,13.31255313,0.074281548,0.670343218,0.110811218,0.911766049,0.971312949
AAEL000439,5.36504016,-0.160283367,0.92023854,-0.17417589,0.861727233,0.954311255
AAEL000440,41.46582169,0.146260414,0.369509051,0.395823631,0.692235143,0.875815466
AAEL000441,3.013829665,-0.001433337,1.177265755,-0.001217513,0.999028565,0.999475108
AAEL000442,0.820769324,-1.754357324,2.580904951,-0.679745034,0.496665916,NA
AAEL000444,120.6940898,-0.096352147,0.232188563,-0.414973698,0.678161157,0.869728813
AAEL000445,0.295199595,1.813497987,4.058900053,0.446795428,0.655022773,NA
AAEL000448,29.05102264,0.383233317,0.505854566,0.757595844,0.448692969,0.736727062
AAEL000449,3.68921807,-0.031160484,1.124105932,-0.027720238,0.977885282,0.991507014
AAEL000450,116.4534565,-0.041144101,0.28138397,-0.146220486,0.883747334,0.962609399
AAEL000451,85.96724037,-0.129296957,0.269776373,-0.479274577,0.631743306,0.849370155
AAEL000452,33.99327458,0.037555422,0.389993518,0.096297554,0.923284253,0.975243502
AAEL000454,274.8897454,-0.444136077,0.222710911,-1.994226844,0.04612727,0.193341501
AAEL000455,0.147599797,1.129374971,4.080472857,0.276775514,0.781952484,NA
AAEL000457,0,NA,NA,NA,NA,NA
AAEL000458,474.0415288,-0.380119452,0.161894237,-2.347949249,0.018877093,0.102552558
AAEL000459,182.9982062,0.116557642,0.196373663,0.593550274,0.552812948,0.807566019
AAEL000460,32.50790081,-0.029416954,0.387448943,-0.075924723,0.939478987,0.982037989
AAEL000461,40.60109569,0.18063333,0.343722247,0.525521206,0.599220915,0.833344785
AAEL000462,0,NA,NA,NA,NA,NA
AAEL000463,0.199366553,1.129374971,4.080472857,0.276775514,0.781952484,NA
AAEL000464,1.907135482,-1.394867028,1.517371268,-0.91926548,0.357956729,NA
AAEL000465,9.467018175,-0.02969648,0.711126112,-0.041759794,0.966690187,0.987393417
