,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AAEL000108,0.957811206,-1.35195575,2.41286629,0.560311094,0.575267262,0.667430861
AAEL000109,15.69990327,-2.769464865,0.9822802,2.819424503,0.004810985,0.011518501
AAEL000111,546.297163,0.724652392,0.213868308,-3.388311248,0.000703244,0.002030339
AAEL000113,0,#VALUE!,NA,NA,NA,NA
AAEL000115,79.77671228,-0.775945187,0.28033888,2.767882883,0.005642173,0.01328434
AAEL000116,34.94042924,-1.947059035,0.420573794,4.629530086,3.66E-06,1.57E-05
AAEL000117,0.112014048,0.356164886,4.080472857,-0.087285199,0.930444819,NA
AAEL000118,79.06127681,-1.722185525,0.279996233,6.15074533,7.71E-10,5.66E-09
AAEL000119,22.02242612,-0.204191503,0.44576898,0.458065753,0.646905203,0.730301677
AAEL000122,58.44505573,-2.127811584,0.33540088,6.344084677,2.24E-10,1.75E-09
AAEL000123,5.667413091,1.121454105,0.825608713,-1.358336082,0.174357066,0.259046431
AAEL000124,443.5265226,2.729353385,0.269690678,-10.12031043,4.49E-24,1.09E-22
AAEL000126,40.67413933,-1.569004978,0.450045202,3.486327529,0.000489701,0.001460434
AAEL000127,5.846744842,-0.608401965,0.889468324,0.684006332,0.493971168,0.593973004
AAEL000128,466.3131758,0.791104521,0.218104161,-3.627186733,0.000286526,0.000889954
AAEL000134,8.503521192,0.058343766,0.743119013,-0.078512009,0.937420778,0.954056776
AAEL000137,22.96899086,0.106677996,0.551777674,-0.193335108,0.846696533,0.889325007
AAEL000138,2975.026021,3.049893769,0.209921815,-14.52871281,7.97E-48,6.00E-46
AAEL000139,21.9274603,2.777490078,0.521986308,-5.321001784,1.03E-07,5.61E-07
AAEL000140,31.44745135,-0.91565351,0.417417197,2.193617122,0.028262946,0.05503536
AAEL000143,108.977149,-0.253827949,0.238597266,1.063834274,0.287403782,0.388889635
AAEL000146,0.592959538,-0.098810905,3.284338253,0.030085484,0.975998878,NA
AAEL000147,18.55778826,-2.036347381,0.567056787,3.591081931,0.000329308,0.001011875
AAEL000148,13.3881436,-1.698460194,0.6379198,2.662498002,0.007756303,0.017657381
AAEL000149,85.10692436,-2.969642139,0.3303541,8.98926981,2.49E-19,4.45E-18
AAEL000151,0.451177494,0.441789973,3.560174218,-0.124092234,0.901242247,NA
AAEL000152,1.448562172,-0.919983077,1.864800164,0.493341375,0.621771398,0.708395734
AAEL000154,18.46596233,-7.003920782,1.252856422,5.590361878,2.27E-08,1.35E-07
AAEL000157,51.20094335,-2.164624098,0.395557973,5.472330849,4.44E-08,2.53E-07
AAEL000159,97.70724713,-0.646614419,0.239041782,2.705026768,0.006829889,0.015796535
AAEL000162,0.830551306,-2.530208043,2.27791555,1.110755859,0.266673451,NA
AAEL000163,172.2090271,0.960876048,0.193046013,-4.977445699,6.44E-07,3.11E-06
AAEL000164,13.06269137,-0.677913844,0.59544368,1.13850204,0.254910908,0.353149085
AAEL000165,504.8360794,-0.401926284,0.192517607,2.087737793,0.036821494,0.069182945
AAEL000166,21.53617203,0.167067797,0.494130605,-0.338104532,0.735284415,0.803868026
AAEL000170,27.60467356,-2.037510933,0.459749639,4.431783652,9.35E-06,3.75E-05
AAEL000172,358.878037,-1.263737577,0.159317042,7.932218414,2.15E-15,2.86E-14
AAEL000173,136.5869799,-1.341937281,0.222875998,6.021004035,1.73E-09,1.21E-08
AAEL000174,18.54676521,-2.556855379,0.697819778,3.66406264,0.000248246,0.000778774
AAEL000175,1095.372049,0.506951062,0.13463822,-3.765283444,0.00016636,0.000537859
AAEL000176,4.332045446,-0.516482728,1.205989005,0.428264873,0.66845829,0.749485222
AAEL000178,61.34814405,-0.948093692,0.329966225,2.873305268,0.004062014,0.009904788
AAEL000179,272.8125791,0.664096755,0.247227118,-2.686180871,0.007227395,0.016599115
AAEL000180,218.6349554,0.864386472,0.184348505,-4.688871609,2.75E-06,1.20E-05
AAEL000181,71.68429396,-1.592715562,0.301038772,5.290732325,1.22E-07,6.56E-07
AAEL000182,10798.88938,3.224233123,0.176551968,-18.26223273,1.65E-74,3.48E-72
AAEL000184,28.42019702,-1.442492586,0.477872838,3.018569945,0.002539708,0.006499742
AAEL000185,947.7224416,-0.013662837,0.170765441,0.080009377,0.936229798,0.95334862
AAEL000186,134.5868814,-0.704229538,0.280858712,2.507415679,0.012161759,0.026296171
AAEL000187,36.46249518,0.845616234,0.410443434,-2.060250361,0.039374613,0.073259506
AAEL000188,51.38748381,0.659113568,0.343549738,-1.918538994,0.055042703,0.097978732
