,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AAEL000001,23.06040608,1.975486653,0.534985221,3.69260042,0.000221973,0.002146581
AAEL000004,1.88201017,1.673558493,1.580387119,1.058954779,0.289620375,NA
AAEL000005,2.796559335,0.131221811,1.154750928,0.113636463,0.909525982,NA
AAEL000006,8.388249384,-6.960782744,1.372477135,-5.071693048,3.94E-07,8.41E-06
AAEL000008,2.686881268,-1.099329366,1.184104843,-0.92840543,0.353197303,NA
AAEL000010,1035.275316,-0.390728685,0.337151108,-1.158912655,0.24649179,0.483928391
AAEL000013,5.090926449,0.047592148,0.890734002,0.053430259,0.957389097,NA
AAEL000016,17.20943345,0.972552558,0.59344733,1.63881866,0.101251032,0.268920664
AAEL000020,14.20675067,-0.162022631,0.580385813,-0.279163665,0.780119227,0.903133207
AAEL000022,33.02969633,-0.811925485,0.446639106,-1.817855791,0.069086177,0.204758038
AAEL000024,2.979114345,-0.253173571,1.137264905,-0.222616182,0.823834241,NA
AAEL000026,1.749301739,-0.114917579,1.430952271,-0.080308464,0.935991926,NA
AAEL000028,29.78841751,-0.489022228,0.461939576,-1.058628127,0.289769172,0.537507522
AAEL000032,2180.297763,0.099210448,0.291092681,0.340820826,0.733238472,0.881720878
AAEL000033,2.898803495,0.227754007,1.125637954,0.202333269,0.839656193,NA
AAEL000037,0.773910461,-0.291345357,2.565688353,-0.113554461,0.909590989,NA
AAEL000038,27.31920016,-1.043532404,0.465881764,-2.239908245,0.02509688,0.097787307
AAEL000042,4.377991224,-0.391437222,1.007022359,-0.388707578,0.697492476,NA
AAEL000044,166.9312706,-3.297526838,0.537241726,-6.13788297,8.36E-10,3.01E-08
AAEL000046,6.340767737,1.355134264,0.892974938,1.517550165,0.129127838,NA
AAEL000049,14.30491418,-2.015284646,0.810776264,-2.485623638,0.012932466,0.058886213
AAEL000050,18.79978634,0.294791925,0.618739157,0.476439743,0.633761126,0.819673958
AAEL000051,2.53951267,-2.077505525,1.314696856,-1.580216394,0.114057319,NA
AAEL000053,5.962919071,-0.935940309,0.855712407,-1.093755684,0.274062145,NA
AAEL000055,8.386755896,-1.14963644,0.783372941,-1.467546784,0.142227372,0.340286696
AAEL000065,1.054605074,0.414264512,1.855580352,0.22325334,0.82333834,NA
AAEL000074,6.075808977,-0.468434037,0.798116107,-0.586924676,0.557254297,NA
