,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AAEL020372,0.17821626,-0.160366476,3.53380296,0.045380707,0.963803859,NA
AAEL020373,3.01973352,5.914562573,3.348170019,-1.766506044,0.077310989,0.177204284
AAEL020374,0,#VALUE!,NA,NA,NA,NA
AAEL020375,0,#VALUE!,NA,NA,NA,NA
AAEL020376,0.1789835,-0.160366476,3.53380296,0.045380707,0.963803859,NA
AAEL020377,0.367902876,-1.072268313,2.263707308,0.473677983,0.635729556,NA
AAEL020378,12.38193998,-0.06588217,0.455984955,0.144483211,0.885118913,0.936970777
AAEL020379,0.598320309,-0.434751459,1.917331554,0.22674819,0.820619553,NA
AAEL020380,43.3715332,0.227780725,0.302861468,-0.752095426,0.451993674,0.619798982
AAEL020381,0,#VALUE!,NA,NA,NA,NA
AAEL020382,29.55743102,-0.630312388,0.34938396,1.8040679,0.071220663,0.166306439
AAEL020383,0.152346134,1.763194883,3.53380296,-0.498951102,0.617813832,NA
AAEL020384,3.187928915,-0.549326078,0.957919155,0.573457661,0.566334859,0.719049636
AAEL020385,0.17821626,-0.160366476,3.53380296,0.045380707,0.963803859,NA
AAEL020386,0.773917945,1.311256397,1.914530551,-0.684897087,0.493408864,NA
AAEL020387,13.50172408,0.047211533,0.476889102,-0.098998977,0.921139082,0.956880569
AAEL020388,0,#VALUE!,NA,NA,NA,NA
AAEL020389,0,#VALUE!,NA,NA,NA,NA
AAEL020390,0.713444131,-2.042402584,1.776280843,1.149819631,0.250218168,NA
AAEL020391,0.351378949,-1.024011173,2.616645633,0.391344995,0.695542244,NA
AAEL020392,32.01784848,0.406316771,0.297722816,-1.364748517,0.172332105,0.318317073
AAEL020393,5.618895977,-1.100842515,0.733402843,1.501006611,0.133353852,0.264509493
AAEL020394,0.461335717,-1.400336817,2.468617557,0.567255472,0.570540625,NA
AAEL020395,0,#VALUE!,NA,NA,NA,NA
AAEL020396,8.41760732,-0.582986446,0.667019043,0.874017694,0.382108618,0.55160448
AAEL020397,0.084815382,0.320525865,3.53380296,-0.090702812,0.927728736,NA
AAEL020398,0.609346675,-0.423856633,1.787745539,0.237090024,0.812586951,NA
AAEL020399,0.684074043,-0.658191178,2.064139091,0.318869586,0.749825408,NA
AAEL020400,14.67997597,0.233369944,0.482397008,-0.483771541,0.628548015,0.768897131
AAEL020401,4.643448101,-1.342202522,0.827301468,1.622386244,0.104720673,0.222449718
AAEL020402,0.176677732,-0.160366476,3.53380296,0.045380707,0.963803859,NA
AAEL020403,0.710555224,-2.038642917,1.776036482,1.147860946,0.251025973,NA
AAEL020404,0.708585247,-0.702008044,1.890843652,0.371267102,0.710438598,NA
AAEL020405,0,#VALUE!,NA,NA,NA,NA
AAEL020406,0.282408464,-0.680143558,3.530738226,0.192634943,0.847244877,NA
AAEL020407,0,#VALUE!,NA,NA,NA,NA
AAEL020408,0,#VALUE!,NA,NA,NA,NA
AAEL020409,0,#VALUE!,NA,NA,NA,NA
AAEL020410,0,#VALUE!,NA,NA,NA,NA
AAEL020411,0,#VALUE!,NA,NA,NA,NA
AAEL020412,0,#VALUE!,NA,NA,NA,NA
AAEL020413,0,#VALUE!,NA,NA,NA,NA
AAEL020414,0,#VALUE!,NA,NA,NA,NA
AAEL020415,0,#VALUE!,NA,NA,NA,NA
AAEL020416,0,#VALUE!,NA,NA,NA,NA
AAEL020417,0,#VALUE!,NA,NA,NA,NA
AAEL020418,0,#VALUE!,NA,NA,NA,NA
AAEL020419,0,#VALUE!,NA,NA,NA,NA
AAEL020420,0,#VALUE!,NA,NA,NA,NA
AAEL020421,0,#VALUE!,NA,NA,NA,NA
AAEL020422,6.277919667,0.192879514,0.615045011,-0.313602274,0.753823132,0.855276768
AAEL020423,0.17821626,-0.160366476,3.53380296,0.045380707,0.963803859,NA
AAEL020424,0.351994051,-1.022988956,3.161295267,0.323598041,0.746242371,NA
AAEL020425,8.385541314,-1.28231988,0.649019579,1.975779964,0.048179704,0.123213075
AAEL020426,0,#VALUE!,NA,NA,NA,NA
AAEL020427,0,#VALUE!,NA,NA,NA,NA
AAEL020428,0.090480008,0.320525865,3.53380296,-0.090702812,0.927728736,NA
AAEL020429,404.4706341,0.038827359,0.186440695,-0.208255815,0.83502923,0.907957547
AAEL020430,0.390889993,2.139614806,2.94920315,-0.725489123,0.468152015,NA
AAEL020431,0.086197724,0.320525865,3.53380296,-0.090702812,0.927728736,NA
AAEL020432,20.94521263,1.698525043,0.31483838,-5.394911016,6.86E-08,7.84E-07
AAEL020433,4.896007186,-1.415480264,0.982110299,1.441264047,0.1495101,0.287990305
AAEL020434,49.92028922,-0.060273761,0.268876542,0.224168908,0.822625876,0.899548796
AAEL020435,0,#VALUE!,NA,NA,NA,NA
AAEL020436,0,#VALUE!,NA,NA,NA,NA
AAEL020437,0.093400878,0.320525865,3.53380296,-0.090702812,0.927728736,NA
AAEL020438,0,#VALUE!,NA,NA,NA,NA
AAEL020439,0.347690838,-1.012769138,2.620452083,0.386486418,0.69913646,NA
AAEL020440,5.987843793,-1.780825676,0.813702688,2.188545892,0.028629862,0.0806741
AAEL020441,130.6314502,1.664561525,0.227800408,-7.307105105,2.73E-13,6.06E-12
AAEL020442,1.190164361,1.189359062,1.319806481,-0.901161707,0.367502348,0.53758869
AAEL020443,0,#VALUE!,NA,NA,NA,NA
AAEL020444,0,#VALUE!,NA,NA,NA,NA
AAEL020445,0.093400878,0.320525865,3.53380296,-0.090702812,0.927728736,NA
AAEL020446,37.54872846,-0.509296721,0.272996689,1.865578377,0.062100377,0.149594797
AAEL020447,2268.616908,-0.10414891,0.179770607,0.57934337,0.562357507,0.715224591
AAEL020448,0,#VALUE!,NA,NA,NA,NA
AAEL020449,0,#VALUE!,NA,NA,NA,NA
AAEL020450,51.16421821,0.868196505,0.265352487,-3.271861198,0.00106842,0.005073256
AAEL020451,0,#VALUE!,NA,NA,NA,NA
AAEL020452,769.8869075,-2.058214841,0.160190877,12.84851474,8.77E-38,8.29E-36
AAEL020453,0.469210221,-1.423378912,2.947845758,0.482853931,0.629199455,NA
AAEL020454,0.922607508,-2.399818929,1.888513792,1.27074472,0.203819481,NA
AAEL020455,0,#VALUE!,NA,NA,NA,NA
AAEL020456,0,#VALUE!,NA,NA,NA,NA
AAEL020457,14.13626407,0.717923348,0.387712253,-1.851691149,0.064070186,0.153255043
AAEL020458,0,#VALUE!,NA,NA,NA,NA
AAEL020459,0,#VALUE!,NA,NA,NA,NA
AAEL020460,0,#VALUE!,NA,NA,NA,NA
AAEL020461,0,#VALUE!,NA,NA,NA,NA
AAEL020462,0,#VALUE!,NA,NA,NA,NA
AAEL020463,0.324553588,0.80141102,2.652995522,-0.302077789,0.762592764,NA
AAEL020464,0.367870912,-1.074266938,2.600950238,0.41302864,0.679585631,NA
AAEL020465,6.201322858,2.15039627,0.828627712,-2.59512956,0.009455527,0.032811514
AAEL020466,136.9706527,0.123122437,0.150990249,-0.815433032,0.414824483,0.584818568
AAEL020467,15.77018867,-0.33352183,0.487682331,0.683891559,0.494043645,0.657210466
AAEL020468,0.094168118,0.320525865,3.53380296,-0.090702812,0.927728736,NA
AAEL020469,1.12316893,1.12848125,1.547788541,-0.72909265,0.46594499,0.632305251
AAEL020470,0.136249315,1.763194883,3.53380296,-0.498951102,0.617813832,NA
AAEL020471,5.940286697,-0.325116676,0.635580464,0.51152717,0.608981968,0.752675171
AAEL020472,0,#VALUE!,NA,NA,NA,NA
AAEL020473,1.875891054,-1.268865935,1.252962893,1.012692349,0.311207134,0.480447213
AAEL020474,7.968337875,1.875487019,2.121423605,-0.884070025,0.376658413,0.546363419
AAEL020475,0,#VALUE!,NA,NA,NA,NA
AAEL020476,198.8111238,0.278746496,0.215886163,-1.291173518,0.196643516,0.348040622
AAEL020477,54.5100523,0.917740639,0.237918643,-3.857371701,0.000114613,0.000698556
