,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AAEL000001,28.97928172,0.699436877,0.298984091,2.33937824,0.019315867,0.108582765
AAEL000004,3.613109745,-0.3602655,0.740883969,-0.486264402,0.626779715,NA
AAEL000005,2.77096926,0.244930213,0.798144926,0.30687436,0.758939006,NA
AAEL000008,2.224618762,-0.437894501,0.925914702,-0.472931794,0.636261841,NA
AAEL000010,1386.452496,-0.75583404,0.222909325,-3.390769051,0.000696968,0.009190315
AAEL000013,4.316400176,0.539213193,0.654708461,0.823592829,0.410170952,NA
AAEL000016,18.37337463,0.640922384,0.390218922,1.642468746,0.100492898,0.329807801
AAEL000020,15.17781006,-0.134367853,0.382810011,-0.351004021,0.725585332,0.897854841
AAEL000022,20.77493972,0.45431374,0.323513541,1.404311359,0.160226153,0.436533676
AAEL000024,2.05731572,0.766332271,0.964789176,0.794300237,0.427020666,NA
AAEL000026,2.197461942,-0.443695552,0.923709017,-0.480341259,0.630984756,NA
AAEL000028,21.67315188,0.429999821,0.342895716,1.254025058,0.209832898,0.501553967
AAEL000032,2923.828394,-0.416877018,0.133180232,-3.13017188,0.00174704,0.01868099
AAEL000033,2.968848168,0.245202287,0.793760961,0.308912002,0.757388467,NA
AAEL000037,0.61960824,0.427123662,2.058949796,0.207447342,0.835660513,NA
AAEL000038,24.70927243,-0.554077684,0.39462699,-1.404054203,0.160302709,0.436533676
AAEL000042,4.205896901,-0.102865609,0.859211219,-0.11972098,0.904704181,NA
AAEL000044,51.52402773,-0.897025689,0.335535896,-2.673411996,0.007508397,0.055328733
AAEL000046,8.97652653,0.171811516,0.491491049,0.349572015,0.726659916,NA
AAEL000049,10.96893722,-1.169455002,0.725032079,-1.612970012,0.106751023,0.342841728
AAEL000050,20.43236252,0.157169957,0.460547964,0.341267293,0.732902368,0.90068089
AAEL000051,1.18584678,-0.332983334,1.283226936,-0.259489046,0.795257933,NA
AAEL000053,6.047529008,-0.662559976,0.615116879,-1.07712859,0.281422822,NA
AAEL000055,5.666432161,-0.055460377,0.628659257,-0.088220092,0.929701749,NA
AAEL000065,0.91120864,0.780664563,1.393841818,0.560081175,0.57542407,NA
AAEL000074,4.255818529,0.544185292,0.663126017,0.820636317,0.411853455,NA
AAEL000076,10.56560123,0.482971713,0.428302262,1.127642218,0.259471049,0.565974822
AAEL000077,16.56353057,-0.086722668,0.3525219,-0.24600647,0.805677224,0.928631182
AAEL000079,106.2627177,0.087638423,0.226153974,0.387516617,0.698373786,0.885011941
AAEL000080,10.19938039,-0.913129474,0.706679342,-1.292141172,0.19630826,NA
AAEL000081,13.52408681,-0.31446088,0.474128488,-0.663239792,0.50717699,0.783174145
AAEL000084,23.85763837,-0.074103441,0.295062502,-0.251144893,0.801702088,0.925402674
AAEL000088,6.08347163,-0.016247466,0.604439707,-0.02688021,0.978555278,NA
AAEL000090,46.83409824,-0.281774346,0.25926155,-1.086834303,0.277110045,0.586251627
AAEL000091,7.888282773,0.413051379,0.485501034,0.850773426,0.394895226,NA
AAEL000092,114.6847558,0.950983164,0.244569372,3.888398438,0.000100908,0.002089855
AAEL000101,20.67011171,-0.235640265,0.373186171,-0.631428182,0.527760594,0.797510998
AAEL000102,33.12367906,-0.258378397,0.266093716,-0.971005256,0.331545661,0.642992695
AAEL000106,2.621148677,0.615431923,0.859994817,0.715622828,0.474224274,NA
AAEL000107,1.721347645,0.07239703,1.043491536,0.069379605,0.944687463,NA
AAEL000109,0.963379358,1.059829353,2.141912773,0.494805095,0.620737708,NA
