"","A4","B4","C4","F3","G3","H3"
"AAEL000219",127.208815,197,84.656228,655.671965,456,655.149942
"AAEL000221",67.848185,48.207921,80.346535,57.135314,55.349835,58.920792
"AAEL000223",3375,1736,2327,1504,2058,1256
"AAEL000224",0,0,0,0,0,0
"AAEL000226",14,13,14,43,26,27
"AAEL000227",238,224,160,21,34,38
"AAEL000229",0,0,0,4,0,0
"AAEL000230",14,11,10,27,38,33
"AAEL000231",24,40,25,84,59,62
"AAEL000234",91,121.781331,73,279.751289,250.173968,277
"AAEL000235",11,9.21867,10,20.248711,24.826033,15
"AAEL000236",0,0,0,0,0,0
"AAEL000238",0,0,0,0,0,0
"AAEL000239",0,0,0,0,0,1
"AAEL000240",40,38,31,112,73,74
"AAEL000241",12,9,2,36,24,24
"AAEL000242",2,2.999999,0,1,1.999999,2
"AAEL000243",0,0,0,0,0,0
"AAEL000244",35.791185,69,30.343772,192.328035,139,175.850058
"AAEL000245",97,77,58,173,163,112
"AAEL000246",1,0,0,0,0,0
"AAEL000247",0,0,0,1,0,0
"AAEL000248",38,12,10,87,34,43
"AAEL000249",0,1,1,4,3,1
"AAEL000250",0,0,0,1,0,0
"AAEL000251",1,0,0,0,0,0
"AAEL000252",0,0,0,0,0,0
"AAEL000254",1,0,0,0,0,0
"AAEL000255",0,3,1,0,1,1
"AAEL000256",2,3,7,4,1,7
"AAEL000257",2,4,5,16,17,6
"AAEL000258",63,48,70,33,25,13
"AAEL000260",1,0,2,4,3,1
"AAEL000261",1,1,7,4,1,3
"AAEL000263",0,1,0,0,0,1
"AAEL000265",11.719941,13.302982,6.225452,39.442387,38.065225,27.646285
"AAEL000266",0,0,0,0,0,0
"AAEL000267",1,1,1,4,1,2
"AAEL000268",0,0,0,0,0,0
"AAEL000269",554,604,412,1019,859,751
"AAEL000270",70,104,84,259,211,184
"AAEL000271",1148,829.000001,1146.000001,1047,776,592
"AAEL000272",6,5,3.345696,25,23.258094,27.342246
"AAEL000275",62,117,71,222,164,168
"AAEL000276",17,19,13,48,45.999999,29.999999
"AAEL000278",44,27,37,128,162,173
"AAEL000279",11,9,13,41,40,35
"AAEL000281",3.349476,0,0,10.048429,0,10.048429
"AAEL000282",3,4,2,3,5,6
"AAEL000283",0,0,0,0,0,0
"AAEL000284",8,12,5,43,32,30
"AAEL000285",0,1,0,0,0,0
"AAEL000287",2,6,1,8,3,7
"AAEL000288",0,2,1,4,3,2
"AAEL000289",7,10,7,27,18,14
"AAEL000290",12,19,6,49,31,31
"AAEL000291",1108,780,1105,2168,1318,1480
"AAEL000292",0,0,0,7,8,3
"AAEL000293",119,88,113,122,201,152
"AAEL000294",579.280059,813.697018,418.774548,464.557613,366.934775,364.353715
"AAEL000297",12,13,9.654305,61,44.741906,39.657754
"AAEL000298",1,0,0,0,1,1
"AAEL000299",3,5,2,10,16,9
"AAEL000301",24,15,16,91,62,40
"AAEL000304",2,2,4,76,63,101
"AAEL000305",1,2,0,4,0,3
"AAEL000308",0,0,0,0,0,0
"AAEL000311",0,0,0,0,1.999999,0
"AAEL000312",0,0,0,0,0,0
"AAEL000314",133,130,131,35,46,33
"AAEL000315",12,10,9,17,25,16
"AAEL000316",2,1,0,3,5,3
"AAEL000320",0,0,0,0,0,0
"AAEL000322",2,1,2,8,5,2
"AAEL000323",0,0,0,2,0,2
"AAEL000324",0,0,0,0,1,0
"AAEL000326",0,0,0,0,0,0
"AAEL000327",0,1,1,0,0,0
"AAEL000328",151,293.000001,150,774,564,686.999999
"AAEL000329",0,0,0,0,0,0
"AAEL000330",20,20,19,67,52,30
"AAEL000332",6,10,3,32,23,21
"AAEL000334",0,0,0,0,0,0
"AAEL000335",0,0,0,0,0,1
"AAEL000336",0,0,0,0,0,0
"AAEL000337",3,6,5,13,8,13
"AAEL000338",0,0,0,0,0,0
"AAEL000340",1,2,0,1,0,0
"AAEL000341",0,0,0,0,0,0
"AAEL000342",3,1,2,2,6,6
"AAEL000343",17,28,24,73,59,69
"AAEL000344",0,0,0,0,0,0
"AAEL000348",17,7,8,50,80,40.73737
"AAEL000351",0,0,0,0,0,0
"AAEL000354",0,0,0,0,0,1
"AAEL000356",0,1,0,0,0,0
"AAEL000357",0,0,0,0,0,0
"AAEL000359",0,0,0,0,0,0
"AAEL000360",0,1,3,1,6,8.26263
"AAEL000362",56,31,26.225056,11,10,9
"AAEL000370",7,18,3,294,214,257
"AAEL000372",26,42,16,66,103,81
"AAEL000377",0,0,0,0,0,0
"AAEL000378",13,14,13,69,53,46
"AAEL000379",0,0,0,0,0,0
"AAEL000382",0,0,0,0,0,0
"AAEL000383",1,4,4,5,7,13
"AAEL000384",0,0,0,0,0,0
"AAEL000385",8,4,5,12,14,17
"AAEL000386",22,24,18,70,74,78
"AAEL000387",0,0,0,0,1,0
"AAEL000388",26,26,25,177,103,99
"AAEL000394",18,16,18,54,41,26
"AAEL000395",42,143,65,32,31,29
"AAEL000396",1,5,3,6,1,5
"AAEL000397",0,0,0,0,0,0
"AAEL000399",0,0,0,0,0,0
"AAEL000401",1,1,0,0,1,0
"AAEL000403",0,0,0,2,2,3
"AAEL000404",0.72266,2.886644,1.443969,10.591776,7.154656,4.966695
"AAEL000405",4,2,5,17,8,13
"AAEL000406",15,20,23,99,61,68
"AAEL000407",74,34,35,163,132,142
"AAEL000408",8.922701,4,13.957596,43.972607,28,31.953692
"AAEL000410",177,128,133,399,297,261
"AAEL000411",1.077299,1,1.042404,1.027393,2,2.046308
"AAEL000412",101,59,82,203,128,119
"AAEL000414",0,0,0,0,0,0
"AAEL000415",3,2,1,245,178,186
"AAEL000416",2,2,2,20,4,8
"AAEL000417",191,237,130,345,297.000001,240.999999
"AAEL000418",16,30,14,43,35,40
"AAEL000419",0,0,0,1,0,0
"AAEL000420",0,0,2,0,0,0
"AAEL000421",0,0,0,1,6,0
"AAEL000422",4,8,5,29,11,10
"AAEL000424",191,184,148,201,178,170
