"","A4","B4","C4","F3","G3","H3"
"AAEL005826",86,131,102,3,18,7
"AAEL005827",2,5,8,2,6,6
"AAEL005829",0,0,1,1,1,1
"AAEL005830",150,108,125,607,414,366
"AAEL005831",0,3,1,3,10,5
"AAEL005832",76,95,119,238,242,189
"AAEL005834",0,0,0,0,0,0
"AAEL005837",17,17,9,17,18,16
"AAEL005838",4,6,4,14,4,5
"AAEL005839",58,71,71,76,87,71
"AAEL005840",0,0,0,4,3,2
"AAEL005842",1,0,0,0,0,0
"AAEL005843",21.000001,50,51,100,80.000001,85
"AAEL005845",59,84,72,342,248,332
"AAEL005846",14,37,16,35,41,30
"AAEL005848",0,2.419408,4.141181,13.59007,8.441043,3.492587
"AAEL005849",0,0,0,1,0,0
"AAEL005850",72,31,47,11,7,4
"AAEL005851",12,5,3,18,16,7
"AAEL005854",0,0,0,0,0,0
"AAEL005855",0,0,0,0,0,0
"AAEL005856",63,52,44,110,108,75
"AAEL005857",12,11,9,26,38,20
"AAEL005858",0,0,1,0,0,4
"AAEL005861",100,64,72,93,109,135
"AAEL005863",27,17,14,30,42,26
"AAEL005866",30,29,26,57,52,40
"AAEL005868",777,837,767,2450,1878,1939
"AAEL005870",12,11.580592,13.858819,49.40993,29.558957,34.507413
"AAEL005874",43,45,45,348,217,336
"AAEL005877",14.553472,7.218171,3.705334,16.741247,16.877737,12.121296
"AAEL005879",58,113,73,378,279,277
"AAEL005880",0,0,0,0,0,0
"AAEL005882",6,21,8,35.953165,33.334438,25.191693
"AAEL005884",145,91,117,114,53,74
"AAEL005885",13,24,20,22,21,17
"AAEL005888",0,1,0,5,3,1
"AAEL005890",7,9,4,26,19,18
"AAEL005891",0,0,0,0,0,0
"AAEL005892",0,0,1,6,4,6
"AAEL005893",0,0,2,0,0,0
"AAEL005895",0,0,0,2,2,3
"AAEL005896",22,25.758646,16.867825,51.276105,59.211662,55.20544
"AAEL005897",67,83,59,185,129,135
"AAEL005898",6,7,0,18,14,7
"AAEL005900",212,108,107,144,95,96
"AAEL005901",6482.800053,7113.594988,5393.409517,7090.428937,5462.96801,4414.120124
"AAEL005902",33,60,46,73,59,49
"AAEL005903",13,15,24,6,4,5
"AAEL005904",6,4,4,16,9,16
"AAEL005905",12,4,5,13,24,16
"AAEL005906",0,0,0,0,0,0
"AAEL005907",0,0,0,0,0,0
"AAEL005908",6,6,5,27,24,23
"AAEL005909",25,19,11,72,51,47
"AAEL005910",53,78,41,143,100,63
"AAEL005911",47,147.241354,27.132175,238.723895,230.788338,199.79456
"AAEL005913",0,0,1,0,0,0
"AAEL005914",34,39,26,150,85,81
"AAEL005915",8,12,12,5,6,4.000001
"AAEL005918",14,17,6,116,78,115
"AAEL005921",41,44,34,74.012379,68.027807,75
"AAEL005922",0,0,0,0,0,0
"AAEL005923",0,0,0,0,0,0
"AAEL005924",0,0,0,0,0,0
"AAEL005925",0,0,0,0,0,0
"AAEL005926",1,1,0,9,9,9
"AAEL005928",18,25,24,130.987621,101.972193,83
"AAEL005929",4,5.999999,4,31,29,13
"AAEL005931",90,125,109,473,448,382
"AAEL005936",0,0,0,0,0,1
"AAEL005938",0,0,0,0,0,0
"AAEL005939",79.469163,76.509574,89.121382,66.491348,38.123112,29.692894
"AAEL005943",0,0,1,0,0,0
"AAEL005944",14,23,13,64,43,33
"AAEL005945",1,1,1,5,10,3
"AAEL005946",129,118,97,210,171,130
"AAEL005947",12,18,22,92,88,79
"AAEL005950",30,38.88202,30.999999,7.600659,20,35
"AAEL005951",1,2,0,1,3,4
"AAEL005952",0,0,1,0,0,1
"AAEL005955",25,23,18,31,20,20
"AAEL005956",21.999999,17,23,67,48,35
"AAEL005957",0,0,0,3,0,1
"AAEL005958",3,10,3,14,20,12
"AAEL005959",6,9,4,2,0,0
"AAEL005960",0,1,0,0,0,0
"AAEL005961",0,0,0,0,0,0
"AAEL005962",1,3,0,2,2,2
"AAEL005964",0,0,0,0,0,0
"AAEL005965",66,79,49,144,126,112
"AAEL005966",0,0,1,1,2,1
"AAEL005967",1,0,1,1,1,1
"AAEL005968",57,61,62,191,129,141
"AAEL005969",1,0,0,1,1,0
"AAEL005970",16,19,20,43,45,37
"AAEL005971",0,0,0,0,0,0
"AAEL005972",7,11,2,0,1,3
"AAEL005976",29,46,20,184,139,118
"AAEL005977",12,18,28,52,42,63
"AAEL005978",0,0,0,0,1,0
"AAEL005979",0,0,0,0,0,0
"AAEL005980",0,0,0,0,0,1
"AAEL005985",231,270,358,410,482,293
"AAEL005991",27,22,12,45,36,24
"AAEL005992",6,11,11,43,39,34
"AAEL005997",0,0,0,2.53626,4.941757,5.072519
"AAEL005999",0,0,0,0,0,0
"AAEL006001",31.497344,13,3,39.564228,43.138634,21.238865
"AAEL006002",29,18,15,72,47,51
"AAEL006003",0,0,0,0,0,0
"AAEL006004",0,0,0,1,2,2
"AAEL006005",0,0,0,0,0,0
"AAEL006006",28,49,45,426,221,252
"AAEL006009",3,8,6,11,18,10
"AAEL006010",15,24,18,39,31,25
"AAEL006011",8996,5364,2987,2776,2202,2068
"AAEL006012",122.114998,149.97482,244.752878,254.671111,204.88278,192.465313
"AAEL006013",10,15,6,31,35,18
"AAEL006014",0,1,0,0,0,4
"AAEL006016",17,17,7,41,32,30
"AAEL006017",2,0,0,6,3.12099,6
"AAEL006020",30,34,28,44,39.999999,41
"AAEL006022",6,6,5,23,24,15
"AAEL006023",360,686,395,168,113,102
"AAEL006025",24,20,13,78,61,64
"AAEL006026",8,5,4,32,18,15
"AAEL006027",0,1,0,0,1,3
"AAEL006028",0,0,0,4,0,0
"AAEL006032",0,2,0,1,2,1
"AAEL006033",15,8,6,28,29,21
"AAEL006034",14,60,38,2,1,4
"AAEL006035",156.866594,145.000001,291.793951,246.867582,206.760401,166.669224
"AAEL006036",13,8,0,18,20.044045,10
"AAEL006037",1,3,2,1,0,1
"AAEL006038",22.672856,29,21,52,54,49
"AAEL006039",16,13,8,59,49,33
"AAEL006042",0,0,0,1,0,0
"AAEL006043",12,9,2,9,13,6
"AAEL006044",4,1,3,1,0,0
"AAEL006048",27,22,21,124,99,63
"AAEL006050",7,6,4,16,11,10
"AAEL006051",2,1,1,3,5,5
"AAEL006052",8,9,2,13,6,11
"AAEL006053",2011,1153,1445,130,170,119
"AAEL006054",4,3,2,2,5,3
"AAEL006055",0,0,0,0,0,0
"AAEL006056",1,0,0,4,0,3
"AAEL006058",0,2,0,0,1,0
"AAEL006059",10,6,9,38,32,26
"AAEL006061",175,198,122,459,421,323
"AAEL006062",5,2,3,21,10,19
"AAEL006063",0,0,0,11.688383,3.420343,0
"AAEL006064",0,0,0,0,0,0
"AAEL006065",11,17,12,45,26,28
"AAEL006066",12,14,13,20,25,19
"AAEL006067",18,7,12,52,32,32
"AAEL006069",21,19,10,32,19,29
"AAEL006070",51,48,36,164,92,103
"AAEL006071",65,83,72.000001,96,105.999999,75
"AAEL006073",0,0,0,0,0,2
"AAEL006075",2.046734,3.92902,4.324149,36.995493,25.256065,21.514324
"AAEL006077",0,0,0,0,0,0
"AAEL006080",15,4,8,30,17,13
"AAEL006081",65.569476,96.297785,80.539874,103.397165,115.726472,98.980704
"AAEL006087",12,8,12,56,51,31
"AAEL006091",35,43,33,119,93,94
"AAEL006093",0,0,0,0,0,0
"AAEL006094",3,1,0,1,3,7
"AAEL006095",58,95,62.999999,389,368,294.000001
"AAEL006098",117,70,93,407,378,293
"AAEL006102",0,0,2,11,16,10
"AAEL006103",1,0,0,0,0,0
"AAEL006107",5,1,5,20,17,14
"AAEL006109",1,2,2,1,1,0
"AAEL006113",49,48.000001,36.999999,168.000001,126,94
"AAEL006114",0,0,0,0,0,0
"AAEL006115",212,192,195,393,296,250
"AAEL006116",2.731414,9,9,12,14,12
"AAEL006117",19,27,17,99,79,71
"AAEL006118",39.268586,33,26,82,64,70
"AAEL006120",7,7,10,16,10,8
"AAEL006121",0,0,2,1,0,0
"AAEL006122",0,0,0,0,0,0
"AAEL006123",0,0,0,0,1,0
"AAEL006124",11,12,7,35,33,20
"AAEL006125",5,5,3,7,4,8
"AAEL006126",9,10,86,312,196,327
"AAEL006128",0,0,0,0,0,0
"AAEL006129",50,65,51,256,190,125
"AAEL006131",18,5,10,2,2,0
"AAEL006132",0,0,0,0,0,0
"AAEL006133",52,85,58,261,199,139
"AAEL006134",4,11,7,30,20,17
"AAEL006135",26,16,10,139,76,65
"AAEL006136",1,1,2,0,1,2
"AAEL006137",0,1,0,1,0,0
"AAEL006138",9,10,92,356,366,379
"AAEL006139",123,245,119,104,102,132
"AAEL006140",9,9,9,19,9,14
"AAEL006142",0,3,0,0,0,0
"AAEL006143",3,3,3,6,5,7
"AAEL006144",15,20,14,72,55,53
"AAEL006145",26,32.999999,29.999999,87,67.999999,86
"AAEL006146",2,2,0,5.173725,2,2.422027
"AAEL006150",12,13,12,15,17,17
"AAEL006151",17,12,9,13,8,5
"AAEL006154",0,0,0,0,0,0
"AAEL006155",27,20,14,102,91,61
"AAEL006156",2,2,2,13,7,3
"AAEL006157",0,0,0,0,0,0
"AAEL006158",297,293,262,577,488,513
"AAEL006159",0,0,0,0,0,0
"AAEL006160",0,0,0,0,0,0
"AAEL006161",5,3,3,9,7,12
"AAEL006164",0,0,0,0,0,0
"AAEL006166",5,2,4,12,7,12
"AAEL006167",0,0,0,0,0,0
"AAEL006168",0,1,0,2,2,1
"AAEL006169",705,849,572,963,764,691
"AAEL006171",3,8,10,189.983498,182.473685,234.844133
"AAEL006172",32,37,30,115.912126,119,94.517237
"AAEL006174",73,75,59,205,188,165
"AAEL006175",15,7,8,47.087874,32,21.482763
"AAEL006176",0,1,0,3,2,2
"AAEL006177",16,9,12,34,36,25
"AAEL006178",0,0,0,3,2,1
"AAEL006179",18,17,14,390.016501,555.526315,506.155867
"AAEL006180",0,2,0,12,8.000001,8.999999
"AAEL006181",46,76,28,51,45,52
"AAEL006185",10,8,1,11,12,9
"AAEL006186",132,123,81,276,294,233
"AAEL006187",17,24,12,59,47,27
"AAEL006188",11,16,5,17,9,9
"AAEL006189",41,51,38,96,108,89
"AAEL006191",1,3,4,7,3,5
"AAEL006193",10,8,7,31,28,15
"AAEL006196",143,115,158,310,260,229
"AAEL006197",3,0,2,8,3,1
"AAEL006201",0,0,0,0,0,0
"AAEL006202",0,0,0,0,0,0
"AAEL006205",7,11,5,44,24,20
"AAEL006206",0,0,0,0,0,2
"AAEL006207",50,25,21,8,9,4
"AAEL006208",0,0,0,0,0,0
"AAEL006209",1,1,1,2,3,3
"AAEL006211",4,0,1,4,1,2
"AAEL006214",0,0,0,0,0,0
"AAEL006216",2.392709,1,1,1,1,2
"AAEL006219",0,0,0,0,0,0
"AAEL006221",29,33,34,108,91,44
"AAEL006224",186,193,162,201,262,185
"AAEL006226",198,229,188,157,216,155
"AAEL006227",5,7,1,25,20,9
"AAEL006228",6,14,8,9,11,9
"AAEL006231",19,16,14,94,76,74
"AAEL006232",0,0,0,0,0,0
"AAEL006234",0,1.012722,0,0,0,1.003743
"AAEL006235",58,50,40,97,79,74
"AAEL006236",2,1,0,3,2,2
"AAEL006238",52.704565,106.827742,59.216391,124.663172,107.930419,93.591972
"AAEL006239",12,12,25,19,24,16
"AAEL006240",158,198.987278,102,154,184,140.996257
"AAEL006241",1,1,1,73,47,71
"AAEL006247",10,23,15,24,29,24
"AAEL006248",0,0,0,5,1,0
"AAEL006249",10,11,10,25,18,19
"AAEL006251",106,45,37,122,122,95
"AAEL006253",0,0,0,0,0,1
"AAEL006254",4,1,1,10,4,4
"AAEL006257",0,0,0,0,0,0
"AAEL006258",0,0,0,0,0,0
"AAEL006259",0,0,0,51,12,1
"AAEL006262",4.245765,6.13088,1.015736,6.015963,6.043147,3.00276
"AAEL006264",72,57,55,33,48,38
"AAEL006265",1,0,0,0,0,1
"AAEL006267",0,0,0,2,0,2
"AAEL006269",1,1,0,4,4,3
"AAEL006270",25,20,11,32,34,36
"AAEL006271",2,1,1,72,61,45
"AAEL006274",192.754235,185.86912,99.984264,1516.984037,1169.956853,1187.997241
"AAEL006275",6,9,5,37,33,34
"AAEL006276",37,52,27,30,21,19
"AAEL006277",0,4,1,9,6,5
"AAEL006279",10,43,19,94,52,57
"AAEL006280",0,0,0,0,0,0
"AAEL006282",0,0,0,0,0,0
"AAEL006283",4,8,7,5,6,5
"AAEL006285",16,27,21,36,39,25
"AAEL006286",4,3,2,27,23,19
"AAEL006287",0,2,2,0,1,1
"AAEL006293",0,0,0,0,0,0
"AAEL006294",12,15,18,39,32,34
"AAEL006298",6,5,2,17,12,9
"AAEL006299",22,36,15,64,56,32
"AAEL006300",29,37,45,50,49,38
"AAEL006308",21,30,36,94,107,67
"AAEL006309",9,11,14,24,29,25
"AAEL006310",0,0,0,0,0,0
"AAEL006311",2,14,10,26,23,22
"AAEL006312",1,1,0,0,2,0
"AAEL006313",23.072492,23,20.766354,33,26.073243,17
"AAEL006314",26.999999,21,54,41,43,17
"AAEL006315",47.927508,87,60.233646,205,154.926757,129
"AAEL006317",65,47,66,41,65,53
"AAEL006318",6,2,2,10,5,4
"AAEL006319",0,0,0,1,0,0
"AAEL006320",15,6,13,60,23,35
"AAEL006321",27,68,33,96,69,109
"AAEL006322",94,134,114,4,5,10
"AAEL006323",0,0,0,1,1,3
"AAEL006326",0,0,0,0,0,0
"AAEL006327",13,7,3,89,74,81
"AAEL006328",0,0,0,2,2,0
"AAEL006329",0,1,0,1,1,0
"AAEL006330",19,27.999999,27,54,42,53
"AAEL006333",0,0,0,1,0,2
"AAEL006334",0,0,0,4,1,2
"AAEL006335",0,0,0,0,0,0
"AAEL006337",52,38,29,147,114,109
"AAEL006338",1,1,0,5,1,1
"AAEL006339",0,0,0,0,1,0
"AAEL006340",1,0,0,1,1,0
"AAEL006341",0,0,1,1,0,5
"AAEL006342",163,135,164,754,768,613
"AAEL006343",81,79,39,143,137,98
"AAEL006344",2,0,1,2,0,0
"AAEL006346",26,26,22,39,44,29
"AAEL006347",0,0,0,2,5,7
"AAEL006348",0,0,0,0,0,0
"AAEL006349",0,0,0,0,0,0
"AAEL006350",1,0,0,0,0,0
"AAEL006351",0,0,0,0,0,0
"AAEL006352",0,0,1,0,1,1
"AAEL006353",248,158,237,211,226,201
"AAEL006354",0,0,0,0,0,0
"AAEL006355",0,0,0,1,4,2
"AAEL006356",21,9,17,40,29,25
"AAEL006359",46,28,41,87,73,98
"AAEL006360",1,0,0,0,0,0
"AAEL006361",0,0,0,0,0,0
"AAEL006362",62.000001,45,26,164,119.000001,187
"AAEL006363",19,13,0,60,50,43
"AAEL006364",440.384546,611.577898,675.417278,112.849648,148.817005,124.482845
"AAEL006365",1,3,1,13,7,11
"AAEL006367",9,9,5,21,18,11
"AAEL006368",2,3,15,6,6,10
"AAEL006370",3,8,7,17,28,24
"AAEL006372",419,480,512,413,158,126
"AAEL006373",22.615454,16.422103,30.582722,63.150352,39.182995,41.517155
"AAEL006374",3,6,6,28,24,23
"AAEL006376",20,32,12,0,0,0
"AAEL006377",0,0,0,9,0,4
"AAEL006378",21,15,60,38,39,27
"AAEL006381",2630,1207,2328,1356,798,2063
"AAEL006382",11,9,7,2,1,1
"AAEL006383",0,0,0,1,0,0
"AAEL006384",50,54,73,29,34,28
"AAEL006385",0,0,0,0,0,0
"AAEL006386",11,12,9,59,31,25
"AAEL006389",1,0,1,1,3,3
"AAEL006390",421,243,284,654,533,583
"AAEL006394",0,0,0,0,0,0
"AAEL006399",0,0,0,0,0,0
"AAEL006400",17,30,25,91,63,40
"AAEL006401",35,19,22,56,41,36
"AAEL006403",2,0,0,0,0,0
"AAEL006404",11,12,22,13,10,10
"AAEL006406",0,0,0,3,1,7
"AAEL006407",0,0,1,4,4,1
"AAEL006409",22,26,20,36,39,35
"AAEL006412",29,57.999999,45,66.999999,55,78
"AAEL006413",0,4,1,4,4,5
"AAEL006414",0,0,0,0,0,0
"AAEL006415",43,37,50,208,101,78
"AAEL006416",6,8,5,28,12,14
"AAEL006417",0,0,0,0,0,19
"AAEL006418",0,0,0,0,0,0
"AAEL006419",6,3,1,12,6,1
"AAEL006420",65,127,60,155,135,149
"AAEL006421",0,0,0,0,0,0
"AAEL006423",0,0,0,0,0,21
"AAEL006424",0,0,0,0,0,0
"AAEL006425",16426,29068,19246,4027,4287,3136
"AAEL006428",9,4,3,24,12,12
"AAEL006429",0,0,0,0,0,0
"AAEL006430",0,0,0,0,0,0
"AAEL006432",0,3,2,2,0,0
"AAEL006433",33,47.999999,34.000001,69,89,104
"AAEL006434",1,0,0,0,2,0
"AAEL006435",6,4,9,16,10,14
"AAEL006436",15,8,11,23,26,37
"AAEL006437",5,8,5,9,10,10
"AAEL006438",38,15,23,34,40,23
"AAEL006439",2,7,3,19,13,25
"AAEL006440",0,1,1,0,0,0
"AAEL006441",220,201,170,477,386,280
"AAEL006442",0,0,0,0,0,0
"AAEL006445",5,1,6,7,6,7
"AAEL006446",13,27,19,6,8,3
"AAEL006447",1,5,6,9,12,4
"AAEL006449",29,36,41,136,52,45
"AAEL006450",20,23,16,47,61,35
"AAEL006451",0,0,0,0,0,0
"AAEL006452",5,7,3,13,10,10
"AAEL006453",1,4,0,6,0,2
"AAEL006454",4,0,0,0,1,2
"AAEL006457",1,4,0,5,6,3
"AAEL006458",135,94,71,212,244,149
"AAEL006459",2,8,7,11,5,9
"AAEL006460",6,27,15,27,13,10
"AAEL006462",11,12,4,23,17,19
"AAEL006463",10,12,7,21,24,20
"AAEL006464",3,3,0,0,1,0
"AAEL006465",0,0,0,0,0,0
"AAEL006467",3,0,2,0,0,0
"AAEL006469",3,6,6,42,20,27
"AAEL006471",0,0,0,0,0,0
"AAEL006472",56,66,68,239,176,252
"AAEL006473",42,31,28,94,109,78
"AAEL006474",29,10,8,61,22,40
"AAEL006476",3,7,2,4,3,3
"AAEL006478",0,0,0,1,0,0
"AAEL006479",1,0,1,4,1,1
"AAEL006480",67,82,59,444,355,377
"AAEL006481",0,0,0,0,0,0
"AAEL006482",0,0,0,1,0,3
"AAEL006483",212,176,100,1921,1043,1439
"AAEL006484",0,0,0,0,0,0
"AAEL006485",0,0,0,3,3,15
"AAEL006486",33,22,28,38,26,27
"AAEL006487",0,0,1,0,0,0
"AAEL006488",2,1,3,11,5,10
"AAEL006490",0,0,0,0,0,0
"AAEL006491",4,4,6,11,7,8
"AAEL006492",2,0,0,2,2,2
"AAEL006494",10,4,2,12,4,6
"AAEL006496",2,2,6,3,2,1
"AAEL006498",0.5,0,0,12.5,1,0.5
"AAEL006501",9,19,13,30,28,15
"AAEL006502",14,21,11,49,27,24
"AAEL006503",0,0,0,0,0,0
"AAEL006507",43,33,39,31,23,30
"AAEL006508",1,1,2,6,4,1
"AAEL006509",949,477,682,1016,800,629
"AAEL006510",5,5,0,16,8,12
"AAEL006511",5507.513407,5707.562593,3688,3730.431506,2916.860355,2373
"AAEL006514",95,55,57,129,107,176
"AAEL006515",8,4,3,18,11,12
"AAEL006516",193,166,166,184,141,124
"AAEL006518",400,197,567,113,90,186
"AAEL006519",43,23,32,119,86,79
"AAEL006520",76,144,127,232,206,157
"AAEL006521",15,14,8,43,38,27
"AAEL006522",3,18,10.000001,75,39.999999,74
"AAEL006523",3,3,6,4,3,7
"AAEL006524",0,0,0,0,0,0
"AAEL006525",15,14,6,14,25,10
"AAEL006526",0,1,0,1,1,0
"AAEL006532",0,0,0,3.186007,0,0
"AAEL006533",0,0,0,0,0,0
"AAEL006534",0,0,1,2,0,1
"AAEL006535",0,0,0,0,0,0
"AAEL006536",0,0,0,0,0,0
"AAEL006537",0,0,0,0,0,0
"AAEL006538",229,242,280,300,342,335
"AAEL006539",2,7,3,16,7,9
"AAEL006540",4,2,1,1,1,1
"AAEL006541",0,0,0,0,0,0
"AAEL006542",3,4,8,7,9,6
"AAEL006543",12,11,9,24,21,21
"AAEL006547",16,10,13,36,18,31
"AAEL006548",7,3,5,9,3,0
"AAEL006549",6,6,3,24,23,13
"AAEL006550",65,58,47,190,171,145
"AAEL006551",42,29,25,74,60,46
"AAEL006552",233.999999,223,320.999999,230.000001,258.999999,241.999999
"AAEL006553",8,7,9,13,13.849966,16
"AAEL006556",0,1,0,0,2,3
"AAEL006557",62,48,29,178,141,99
"AAEL006560",25,21,29,77,55,62
"AAEL006563",15,14,85,384,359,339
"AAEL006564",21,21,17,328,304,321
"AAEL006566",26,26,33,85,56,48
"AAEL006567",15,33,27,73,96.000001,84.999999
"AAEL006568",0,0,0,3,3,1
"AAEL006570",0,0.5,0.5,0.5,0,0.5
"AAEL006571",7,6,13,25,25,22
"AAEL006572",40,24,18,206,116,159
"AAEL006575",0,0,0,3,0,3
"AAEL006576",1,0,3,12,10,5
"AAEL006577",70,75,59,239,160,136
"AAEL006581",7,2,2,63,81,31
"AAEL006582",5,5,8,22,16,12
"AAEL006584",1,2,0,9,6,4
"AAEL006585",0,0,1,0,3,2
"AAEL006587",3,8,6,19,20,17
"AAEL006589",16,28,22,58,61,44
"AAEL006593",0,0,0,0,0,0
"AAEL006597",0,0,0,0,0,0
"AAEL006601",0,0,0,0,0,0
"AAEL006602",12,8,2,5,2,0
"AAEL006603",7,5,1,15,8,7
"AAEL006605",0,5,0,4.247412,10.837537,5.132613
"AAEL006606",0,0,0,0,0,0
"AAEL006607",0,0,1,0,0,0
"AAEL006609",22,29,11,140,95,72
"AAEL006610",7,12,10,51.752588,32.162463,27.867387
"AAEL006611",50,44,23,126,109,91
"AAEL006613",0,0,0,0,0,0
"AAEL006614",5,4,1,5,6.066886,5.064924
"AAEL006615",0,0,0,0,0,0
"AAEL006617",18,4,5,1,1,2
"AAEL006619",37,63,55,145,111,105
"AAEL006620",6,4,2,12,10,8
"AAEL006623",0,0,0,0,0,0
"AAEL006624",0,1,0,0,0,0
"AAEL006625",53,43,42,174,144,122
"AAEL006627",0,0,0,1,1,1
"AAEL006628",8,9,9,34,28,26
"AAEL006630",75,113,61,133,122,135
"AAEL006633",14,10,11,22,18,11
"AAEL006634",62,48,22,174,177,113
"AAEL006635",0,0,0,0,0,0
"AAEL006636",12,11,26,7,7,6
"AAEL006637",4,1,4,14,14,9
"AAEL006639",4,2,7,4,9,7
"AAEL006640",6,16,10,36,15,26
"AAEL006641",0,0,0,0,0,0
"AAEL006642",1412.892949,783,736,8493.237281,5661.778875,3643.732454
"AAEL006643",3,1,2,0,7,2
"AAEL006644",2,8,8,136,140,110
"AAEL006645",33,33,31,112,74,63
"AAEL006646",22,29,28,22,37,29
"AAEL006647",85,80,66,210,143,130
"AAEL006648",13,9,6,68,57,48.384676
"AAEL006649",1,4,3,6,9,4
"AAEL006650",0,1,3,1,2,1
"AAEL006652",29,38,29,43,47.999999,46.615324
"AAEL006653",2,4,8,9.015454,7,7
"AAEL006654",19,9,12,53,33,25
"AAEL006655",0,1,1,1,1,2
"AAEL006656",4,5,3,27,11,21
"AAEL006659",34,28,21,45,50,26
"AAEL006660",1,2,0,1,2,1
"AAEL006661",45,52,35,125.984546,85,80
"AAEL006663",54,66,92,187,131,134
"AAEL006665",0,0,0,0,0,0
"AAEL006666",9,10,10,19,10,16
"AAEL006667",82,97,83.000001,54,84,71
"AAEL006668",98,167,123,31,16,20
"AAEL006669",1,4,5,2,4,11
"AAEL006672",23,8,24,28,19,21
"AAEL006674",1,1,1,12,5,7
"AAEL006675",9,8.000001,7,67.000001,51,71
"AAEL006676",151,56,81,63,48,48
"AAEL006677",34,29,18,60,52,48
"AAEL006678",16,23,16,41,29,27
"AAEL006679",0,0,0,0,0,0
"AAEL006682",1,3,1,4,1,3
"AAEL006684",13,12,12,73,45,61.786952
"AAEL006685",100,156,82,605,479,458
"AAEL006686",0,0,0,0,0,0
"AAEL006687",1.396659,0,0,0,0,1.353567
"AAEL006688",43,37,33,128,99,70
"AAEL006689",1,0,0,5,6,4
"AAEL006690",0,0,0,0,0,1
"AAEL006691",770,396,514,5197,4792,3738
"AAEL006692",0,0,0,0,0,0
"AAEL006693",133,152,98,292,282,225
"AAEL006694",2,2,1,3,4,2
"AAEL006696",0,0,0,0,4,2
"AAEL006697",5,8,3,19,16,5
"AAEL006698",3070,2411,1867,2484,1992,1876
"AAEL006699",563,647,446,7500,6508,6057
"AAEL006700",0,0,1,0,0,2
"AAEL006702",1587,855,881,4337,4681,3245
"AAEL006703",0,0,0,0,0,0
"AAEL006704",5380,6689,5600,103600,58174,66679
"AAEL006705",0,0,0,3,3,4
"AAEL006707",33,30,31,12,12,9
"AAEL006708",23,41,38,30,37,17
"AAEL006711",68,94,45,136,151,130
"AAEL006712",1,1,1,7,5,3
"AAEL006713",20,23,11,83,59,40
"AAEL006715",2,6,4,2,5,4
"AAEL006717",10,8,4,28,25,25
"AAEL006718",19,27,18,68,68,49
"AAEL006719",0,0,0,0,0,0
"AAEL006720",0,0,0,0,0,0
"AAEL006721",62.000001,67,41.000001,289,217.000001,222.999999
"AAEL006722",0,0,0,0,0,0
"AAEL006723",3,2,3,10,4,6
"AAEL006724",7,2,7,26,11,10
"AAEL006725",22,32,20,124,107,80
"AAEL006726",0,0,0,0,2,0
"AAEL006727",32,20,19,76,58,63
"AAEL006728",23,37,35,77,68,52
"AAEL006731",16,11,16,83,38,44
"AAEL006732",0,0,0,0,0,0
"AAEL006733",23,17,20,81,68,61
"AAEL006734",16,14,18,88,66,55
"AAEL006735",11,29,8,27,29,19
"AAEL006736",8,2,2,0,0,1
"AAEL006737",0,0,0,0,0,0
"AAEL006739",0,0,0,0,0,0
"AAEL006740",10,7,5,35,25,30
"AAEL006741",73.000001,95,93.999999,283,260.000001,235
"AAEL006744",35,57,34,111,107,90
"AAEL006747",6,14,7,12,16,10
"AAEL006748",33,20,15,104,69,67
"AAEL006749",0,0,0,0,0,0
"AAEL006750",0,2,3,7,3,7
"AAEL006751",55,96,48,267,274,281
"AAEL006752",2,0,2,13,7,11
"AAEL006753",0,0,0,0,1,0
"AAEL006754",32,19,15,92,74,58
"AAEL006755",10,19,8,36,19,16
"AAEL006756",0,0,0,0,0,0
"AAEL006758",8,6,3,3,4,6
"AAEL006760",0,0,0,0,0,0
"AAEL006762",11.363515,4.709257,2.879056,16.345487,17.946136,22.736156
"AAEL006769",12,10,12,53,28,25
"AAEL006771",187,69,99,439,382,243
"AAEL006772",4.636485,2.290743,3.120944,4.654513,7.053864,2.263844
"AAEL006774",0,0,0,2,0,3
"AAEL006776",20,36,23,105,55,82
"AAEL006779",14,8,3,18,15,24
"AAEL006780",18,24,16,50,38,30
"AAEL006782",21,39,17,20.999999,31,31
"AAEL006784",44,36,54,241,157,142
"AAEL006785",2638.988161,2677.466978,2880.478262,1877.483989,1430,1159
"AAEL006786",86,162.999999,107,262.000001,238.000001,289.999999
"AAEL006787",6,3,2,10,20,6
"AAEL006788",2,4,2,21,8,12
"AAEL006789",15,12,5,54,22,35
"AAEL006790",5,7,14,29,26,16
"AAEL006791",3,6,2.000001,9,7.000001,8.000001
"AAEL006792",40,45,43,69,65,46
"AAEL006794",263,184,117,871,528,462
"AAEL006795",286,169,106,489,385,315
"AAEL006797",0,0,0,2,2,0
"AAEL006799",5,6,4,26,25,25
"AAEL006800",0,0,0,4,3,5
"AAEL006801",0,1,4,0,0,0
"AAEL006805",106,629,144,919,729,638
"AAEL006808",12,14,6,43,20,28
"AAEL006809",1,2,0.999999,5.000001,3.999999,4
"AAEL006812",11,18,12,7,9,12.912307
"AAEL006815",155,80,55,268,408,251
"AAEL006816",0,0,1,0,0,0
"AAEL006817",0,0,0,0,0,0
"AAEL006818",1,1,0,1,0,2
"AAEL006819",3,10,5,28,21,7
"AAEL006820",465,311,181,699,574,454
"AAEL006822",3,5,6,12.000001,4,7.000001
"AAEL006823",430,173,237,449,539,344
"AAEL006824",0,0,0,2,0,0
