gene,transcript
AAEL006120,AAEL006120-RE
AAEL006120,AAEL006120-RF
AAEL006121,AAEL006121-RB
AAEL006122,AAEL006122-RB
AAEL006123,AAEL006123-RB
AAEL006124,AAEL006124-RA
AAEL006125,AAEL006125-RA
AAEL006126,AAEL006126-RA
AAEL006128,AAEL006128-RB
AAEL006129,AAEL006129-RA
AAEL006131,AAEL006131-RA
AAEL006132,AAEL006132-RA
AAEL006133,AAEL006133-RA
AAEL006133,AAEL006133-RB
AAEL006134,AAEL006134-RA
AAEL006135,AAEL006135-RA
AAEL006136,AAEL006136-RA
AAEL006137,AAEL006137-RA
AAEL006138,AAEL006138-RA
AAEL006139,AAEL006139-RA
AAEL006139,AAEL006139-RB
AAEL006139,AAEL006139-RC
AAEL006139,AAEL006139-RD
AAEL006140,AAEL006140-RA
AAEL006142,AAEL006142-RA
AAEL006143,AAEL006143-RA
AAEL006143,AAEL006143-RB
AAEL006143,AAEL006143-RC
AAEL006143,AAEL006143-RD
AAEL006144,AAEL006144-RA
AAEL006145,AAEL006145-RA
AAEL006145,AAEL006145-RB
AAEL006145,AAEL006145-RC
AAEL006145,AAEL006145-RD
AAEL006145,AAEL006145-RE
AAEL006145,AAEL006145-RF
AAEL006145,AAEL006145-RG
AAEL006145,AAEL006145-RH
AAEL006146,AAEL006146-RA
AAEL006150,AAEL006150-RA
AAEL006150,AAEL006150-RB
AAEL006151,AAEL006151-RB
AAEL006154,AAEL006154-RA
AAEL006155,AAEL006155-RA
AAEL006156,AAEL006156-RA
AAEL006157,AAEL006157-RB
AAEL006158,AAEL006158-RA
AAEL006159,AAEL006159-RA
AAEL006160,AAEL006160-RB
AAEL006160,AAEL006160-RC
AAEL006160,AAEL006160-RD
AAEL006161,AAEL006161-RB
AAEL006164,AAEL006164-RA
AAEL006166,AAEL006166-RA
AAEL006167,AAEL006167-RB
AAEL006168,AAEL006168-RA
AAEL006169,AAEL006169-RA
AAEL006171,AAEL006171-RB
AAEL006171,AAEL006171-RC
AAEL006171,AAEL006171-RD
AAEL006171,AAEL006171-RE
AAEL006171,AAEL006171-RF
AAEL006171,AAEL006171-RG
AAEL006171,AAEL006171-RH
AAEL006171,AAEL006171-RI
AAEL006171,AAEL006171-RJ
AAEL006171,AAEL006171-RK
AAEL006171,AAEL006171-RL
AAEL006171,AAEL006171-RM
AAEL006171,AAEL006171-RN
AAEL006171,AAEL006171-RO
AAEL006171,AAEL006171-RP
AAEL006172,AAEL006172-RB
AAEL006174,AAEL006174-RA
AAEL006175,AAEL006175-RA
AAEL006175,AAEL006175-RB
AAEL006176,AAEL006176-RA
AAEL006177,AAEL006177-RA
AAEL006178,AAEL006178-RB
AAEL006178,AAEL006178-RC
AAEL006178,AAEL006178-RD
AAEL006178,AAEL006178-RE
AAEL006178,AAEL006178-RF
AAEL006178,AAEL006178-RG
AAEL006178,AAEL006178-RH
AAEL006178,AAEL006178-RI
AAEL006178,AAEL006178-RJ
AAEL006178,AAEL006178-RK
AAEL006179,AAEL006179-RB
AAEL006180,AAEL006180-RB
AAEL006180,AAEL006180-RC
AAEL006180,AAEL006180-RD
AAEL006180,AAEL006180-RE
AAEL006180,AAEL006180-RF
AAEL006181,AAEL006181-RA
AAEL006181,AAEL006181-RB
AAEL006181,AAEL006181-RC
AAEL006181,AAEL006181-RD
AAEL006185,AAEL006185-RB
AAEL006185,AAEL006185-RC
AAEL006186,AAEL006186-RA
AAEL006187,AAEL006187-RA
AAEL006188,AAEL006188-RA
AAEL006188,AAEL006188-RD
AAEL006188,AAEL006188-RE
AAEL006188,AAEL006188-RF
AAEL006188,AAEL006188-RG
AAEL006188,AAEL006188-RH
AAEL006188,AAEL006188-RI
AAEL006188,AAEL006188-RJ
AAEL006188,AAEL006188-RK
AAEL006188,AAEL006188-RL
AAEL006188,AAEL006188-RM
AAEL006188,AAEL006188-RN
AAEL006188,AAEL006188-RO
AAEL006188,AAEL006188-RP
AAEL006188,AAEL006188-RQ
AAEL006188,AAEL006188-RR
AAEL006188,AAEL006188-RS
AAEL006188,AAEL006188-RT
AAEL006188,AAEL006188-RU
AAEL006188,AAEL006188-RV
AAEL006188,AAEL006188-RW
AAEL006188,AAEL006188-RX
AAEL006188,AAEL006188-RY
AAEL006188,AAEL006188-RZ
AAEL006189,AAEL006189-RA
AAEL006191,AAEL006191-RB
AAEL006191,AAEL006191-RC
AAEL006191,AAEL006191-RD
AAEL006191,AAEL006191-RE
AAEL006191,AAEL006191-RF
AAEL006193,AAEL006193-RA
AAEL006193,AAEL006193-RB
AAEL006193,AAEL006193-RC
AAEL006196,AAEL006196-RA
AAEL006196,AAEL006196-RB
AAEL006196,AAEL006196-RC
AAEL006196,AAEL006196-RD
AAEL006197,AAEL006197-RA
AAEL006201,AAEL006201-RA
AAEL006201,AAEL006201-RB
AAEL006201,AAEL006201-RC
AAEL006202,AAEL006202-RA
AAEL006205,AAEL006205-RB
AAEL006206,AAEL006206-RA
AAEL006207,AAEL006207-RA
AAEL006208,AAEL006208-RA
AAEL006209,AAEL006209-RA
AAEL006211,AAEL006211-RB
AAEL006214,AAEL006214-RA
AAEL006214,AAEL006214-RB
AAEL006216,AAEL006216-RB
AAEL006216,AAEL006216-RC
AAEL006216,AAEL006216-RD
AAEL006216,AAEL006216-RE
AAEL006216,AAEL006216-RF
AAEL006216,AAEL006216-RG
AAEL006216,AAEL006216-RH
AAEL006216,AAEL006216-RI
AAEL006216,AAEL006216-RJ
AAEL006216,AAEL006216-RK
AAEL006216,AAEL006216-RL
AAEL006216,AAEL006216-RM
AAEL006216,AAEL006216-RN
AAEL006216,AAEL006216-RO
AAEL006219,AAEL006219-RB
AAEL006221,AAEL006221-RA
AAEL006224,AAEL006224-RA
AAEL006226,AAEL006226-RA
AAEL006226,AAEL006226-RB
AAEL006227,AAEL006227-RA
AAEL006228,AAEL006228-RB
AAEL006231,AAEL006231-RA
AAEL006232,AAEL006232-RB
AAEL006234,AAEL006234-RA
AAEL006234,AAEL006234-RB
AAEL006234,AAEL006234-RC
AAEL006235,AAEL006235-RA
AAEL006235,AAEL006235-RB
AAEL006235,AAEL006235-RC
AAEL006236,AAEL006236-RA
AAEL006238,AAEL006238-RA
AAEL006238,AAEL006238-RB
AAEL006239,AAEL006239-RA
AAEL006239,AAEL006239-RB
AAEL006239,AAEL006239-RC
AAEL006240,AAEL006240-RA
AAEL006241,AAEL006241-RA
AAEL006247,AAEL006247-RA
AAEL006247,AAEL006247-RB
AAEL006247,AAEL006247-RC
AAEL006247,AAEL006247-RD
AAEL006247,AAEL006247-RE
AAEL006247,AAEL006247-RF
AAEL006247,AAEL006247-RG
AAEL006247,AAEL006247-RH
AAEL006247,AAEL006247-RI
AAEL006247,AAEL006247-RJ
AAEL006247,AAEL006247-RK
AAEL006247,AAEL006247-RL
AAEL006247,AAEL006247-RM
AAEL006248,AAEL006248-RA
AAEL006249,AAEL006249-RA
AAEL006249,AAEL006249-RB
AAEL006251,AAEL006251-RA
AAEL006253,AAEL006253-RB
AAEL006253,AAEL006253-RC
AAEL006254,AAEL006254-RB
AAEL006257,AAEL006257-RA
AAEL006258,AAEL006258-RA
AAEL006259,AAEL006259-RA
AAEL006262,AAEL006262-RD
AAEL006264,AAEL006264-RA
AAEL006264,AAEL006264-RB
AAEL006264,AAEL006264-RC
AAEL006265,AAEL006265-RA
AAEL006265,AAEL006265-RB
AAEL006267,AAEL006267-RA
AAEL006267,AAEL006267-RB
AAEL006267,AAEL006267-RC
AAEL006269,AAEL006269-RA
AAEL006270,AAEL006270-RA
AAEL006271,AAEL006271-RD
AAEL006274,AAEL006274-RB
AAEL006274,AAEL006274-RC
AAEL006274,AAEL006274-RD
AAEL006275,AAEL006275-RA
AAEL006276,AAEL006276-RA
AAEL006277,AAEL006277-RA
AAEL006279,AAEL006279-RB
AAEL006279,AAEL006279-RC
AAEL006280,AAEL006280-RA
AAEL006282,AAEL006282-RA
AAEL006283,AAEL006283-RA
AAEL006283,AAEL006283-RB
AAEL006283,AAEL006283-RC
AAEL006283,AAEL006283-RD
AAEL006283,AAEL006283-RE
AAEL006283,AAEL006283-RF
AAEL006285,AAEL006285-RA
AAEL006286,AAEL006286-RA
AAEL006287,AAEL006287-RA
AAEL006293,AAEL006293-RA
AAEL006293,AAEL006293-RB
AAEL006293,AAEL006293-RC
AAEL006293,AAEL006293-RD
AAEL006294,AAEL006294-RA
AAEL006294,AAEL006294-RB
AAEL006294,AAEL006294-RC
AAEL006298,AAEL006298-RA
AAEL006299,AAEL006299-RB
AAEL006300,AAEL006300-RB
AAEL006308,AAEL006308-RA
AAEL006309,AAEL006309-RC
AAEL006309,AAEL006309-RD
AAEL006309,AAEL006309-RE
AAEL006310,AAEL006310-RA
AAEL006311,AAEL006311-RC
AAEL006311,AAEL006311-RD
AAEL006312,AAEL006312-RB
AAEL006313,AAEL006313-RA
AAEL006314,AAEL006314-RA
AAEL006314,AAEL006314-RB
AAEL006314,AAEL006314-RC
AAEL006315,AAEL006315-RA
AAEL006317,AAEL006317-RC
AAEL006317,AAEL006317-RD
AAEL006317,AAEL006317-RE
AAEL006317,AAEL006317-RF
AAEL006317,AAEL006317-RG
AAEL006317,AAEL006317-RH
AAEL006318,AAEL006318-RA
AAEL006319,AAEL006319-RB
AAEL006320,AAEL006320-RB
AAEL006321,AAEL006321-RA
AAEL006321,AAEL006321-RB
AAEL006322,AAEL006322-RC
AAEL006322,AAEL006322-RD
AAEL006323,AAEL006323-RA
AAEL006326,AAEL006326-RA
AAEL006327,AAEL006327-RA
AAEL006328,AAEL006328-RB
AAEL006329,AAEL006329-RA
AAEL006330,AAEL006330-RC
AAEL006330,AAEL006330-RD
AAEL006330,AAEL006330-RE
AAEL006330,AAEL006330-RF
AAEL006330,AAEL006330-RG
AAEL006330,AAEL006330-RH
AAEL006333,AAEL006333-RA
AAEL006334,AAEL006334-RA
AAEL006335,AAEL006335-RA
AAEL006337,AAEL006337-RA
AAEL006337,AAEL006337-RB
AAEL006338,AAEL006338-RA
AAEL006339,AAEL006339-RA
AAEL006340,AAEL006340-RA
AAEL006340,AAEL006340-RB
AAEL006340,AAEL006340-RC
AAEL006340,AAEL006340-RD
AAEL006340,AAEL006340-RE
AAEL006341,AAEL006341-RB
AAEL006341,AAEL006341-RC
AAEL006341,AAEL006341-RD
AAEL006341,AAEL006341-RE
AAEL006341,AAEL006341-RF
AAEL006342,AAEL006342-RB
AAEL006342,AAEL006342-RC
AAEL006343,AAEL006343-RA
AAEL006344,AAEL006344-RB
AAEL006346,AAEL006346-RC
AAEL006346,AAEL006346-RD
AAEL006346,AAEL006346-RE
AAEL006347,AAEL006347-RA
AAEL006348,AAEL006348-RA
AAEL006349,AAEL006349-RA
AAEL006350,AAEL006350-RA
AAEL006350,AAEL006350-RB
AAEL006351,AAEL006351-RA
AAEL006351,AAEL006351-RB
AAEL006352,AAEL006352-RA
AAEL006353,AAEL006353-RA
AAEL006354,AAEL006354-RA
AAEL006355,AAEL006355-RB
AAEL006356,AAEL006356-RA
AAEL006359,AAEL006359-RA
AAEL006359,AAEL006359-RB
AAEL006360,AAEL006360-RA
AAEL006361,AAEL006361-RA
AAEL006362,AAEL006362-RA
AAEL006362,AAEL006362-RB
AAEL006362,AAEL006362-RC
AAEL006362,AAEL006362-RD
AAEL006363,AAEL006363-RC
AAEL006363,AAEL006363-RD
AAEL006363,AAEL006363-RE
AAEL006363,AAEL006363-RF
AAEL006363,AAEL006363-RG
AAEL006363,AAEL006363-RH
AAEL006364,AAEL006364-RA
AAEL006364,AAEL006364-RB
AAEL006364,AAEL006364-RC
AAEL006364,AAEL006364-RD
AAEL006364,AAEL006364-RE
AAEL006365,AAEL006365-RA
AAEL006367,AAEL006367-RA
AAEL006368,AAEL006368-RA
AAEL006370,AAEL006370-RB
AAEL006370,AAEL006370-RC
AAEL006372,AAEL006372-RA
AAEL006372,AAEL006372-RB
AAEL006372,AAEL006372-RC
AAEL006373,AAEL006373-RB
AAEL006374,AAEL006374-RA
AAEL006376,AAEL006376-RA
AAEL006377,AAEL006377-RA
AAEL006378,AAEL006378-RA
AAEL006381,AAEL006381-RA
AAEL006382,AAEL006382-RA
AAEL006382,AAEL006382-RB
AAEL006383,AAEL006383-RA
AAEL006384,AAEL006384-RA
AAEL006385,AAEL006385-RB
AAEL006386,AAEL006386-RB
AAEL006389,AAEL006389-RB
AAEL006389,AAEL006389-RC
AAEL006390,AAEL006390-RA
AAEL006394,AAEL006394-RB
AAEL006394,AAEL006394-RC
AAEL006399,AAEL006399-RA
AAEL006400,AAEL006400-RA
AAEL006401,AAEL006401-RA
AAEL006403,AAEL006403-RA
AAEL006404,AAEL006404-RA
AAEL006404,AAEL006404-RB
AAEL006404,AAEL006404-RC
AAEL006406,AAEL006406-RG
AAEL006407,AAEL006407-RA
AAEL006409,AAEL006409-RA
AAEL006412,AAEL006412-RA
AAEL006412,AAEL006412-RB
AAEL006412,AAEL006412-RC
AAEL006412,AAEL006412-RD
AAEL006412,AAEL006412-RE
AAEL006412,AAEL006412-RF
AAEL006412,AAEL006412-RG
AAEL006412,AAEL006412-RH
AAEL006412,AAEL006412-RI
AAEL006413,AAEL006413-RA
AAEL006414,AAEL006414-RA
AAEL006415,AAEL006415-RA
AAEL006416,AAEL006416-RB
AAEL006416,AAEL006416-RC
AAEL006416,AAEL006416-RD
AAEL006416,AAEL006416-RE
AAEL006416,AAEL006416-RF
AAEL006417,AAEL006417-RA
AAEL006418,AAEL006418-RA
AAEL006419,AAEL006419-RA
AAEL006420,AAEL006420-RA
AAEL006421,AAEL006421-RB
AAEL006423,AAEL006423-RA
AAEL006424,AAEL006424-RA
AAEL006425,AAEL006425-RA
AAEL006428,AAEL006428-RA
AAEL006429,AAEL006429-RA
AAEL006430,AAEL006430-RA
AAEL006432,AAEL006432-RB
AAEL006432,AAEL006432-RC
AAEL006432,AAEL006432-RD
AAEL006432,AAEL006432-RE
AAEL006433,AAEL006433-RB
AAEL006433,AAEL006433-RC
AAEL006433,AAEL006433-RD
AAEL006433,AAEL006433-RE
AAEL006433,AAEL006433-RF
AAEL006433,AAEL006433-RG
AAEL006433,AAEL006433-RH
AAEL006433,AAEL006433-RI
AAEL006434,AAEL006434-RA
AAEL006434,AAEL006434-RB
AAEL006435,AAEL006435-RA
AAEL006435,AAEL006435-RB
AAEL006436,AAEL006436-RA
AAEL006436,AAEL006436-RB
AAEL006436,AAEL006436-RC
AAEL006436,AAEL006436-RD
AAEL006436,AAEL006436-RE
AAEL006436,AAEL006436-RF
AAEL006437,AAEL006437-RA
AAEL006438,AAEL006438-RA
AAEL006439,AAEL006439-RB
AAEL006439,AAEL006439-RC
AAEL006439,AAEL006439-RD
AAEL006439,AAEL006439-RE
AAEL006439,AAEL006439-RF
AAEL006439,AAEL006439-RG
AAEL006440,AAEL006440-RA
AAEL006441,AAEL006441-RA
AAEL006442,AAEL006442-RA
AAEL006445,AAEL006445-RA
AAEL006446,AAEL006446-RA
AAEL006447,AAEL006447-RB
AAEL006447,AAEL006447-RC
AAEL006449,AAEL006449-RA
AAEL006449,AAEL006449-RB
AAEL006450,AAEL006450-RA
AAEL006451,AAEL006451-RB
AAEL006452,AAEL006452-RA
AAEL006453,AAEL006453-RA
AAEL006454,AAEL006454-RA
AAEL006457,AAEL006457-RA
AAEL006458,AAEL006458-RB
AAEL006459,AAEL006459-RA
AAEL006460,AAEL006460-RA
AAEL006462,AAEL006462-RB
AAEL006463,AAEL006463-RA
AAEL006464,AAEL006464-RA
AAEL006465,AAEL006465-RA
AAEL006467,AAEL006467-RB
AAEL006469,AAEL006469-RA
AAEL006471,AAEL006471-RB
AAEL006472,AAEL006472-RB
AAEL006472,AAEL006472-RC
AAEL006472,AAEL006472-RD
AAEL006473,AAEL006473-RA
AAEL006473,AAEL006473-RB
AAEL006474,AAEL006474-RA
AAEL006474,AAEL006474-RB
AAEL006476,AAEL006476-RB
AAEL006478,AAEL006478-RB
AAEL006478,AAEL006478-RC
AAEL006478,AAEL006478-RD
AAEL006478,AAEL006478-RE
AAEL006478,AAEL006478-RF
AAEL006478,AAEL006478-RG
AAEL006479,AAEL006479-RA
AAEL006480,AAEL006480-RA
AAEL006481,AAEL006481-RB
AAEL006481,AAEL006481-RC
AAEL006481,AAEL006481-RD
AAEL006482,AAEL006482-RB
AAEL006482,AAEL006482-RC
AAEL006482,AAEL006482-RD
AAEL006482,AAEL006482-RE
AAEL006482,AAEL006482-RF
AAEL006483,AAEL006483-RB
AAEL006484,AAEL006484-RA
AAEL006485,AAEL006485-RD
AAEL006485,AAEL006485-RE
AAEL006486,AAEL006486-RA
AAEL006487,AAEL006487-RA
AAEL006488,AAEL006488-RB
AAEL006490,AAEL006490-RB
AAEL006491,AAEL006491-RA
AAEL006491,AAEL006491-RB
AAEL006492,AAEL006492-RA
AAEL006494,AAEL006494-RB
AAEL006496,AAEL006496-RA
AAEL006498,AAEL006498-RA
AAEL006501,AAEL006501-RA
AAEL006502,AAEL006502-RA
AAEL006503,AAEL006503-RA
AAEL006507,AAEL006507-RA
AAEL006508,AAEL006508-RA
AAEL006509,AAEL006509-RA
AAEL006510,AAEL006510-RB
AAEL006510,AAEL006510-RC
AAEL006511,AAEL006511-RA
AAEL006514,AAEL006514-RB
AAEL006514,AAEL006514-RC
AAEL006514,AAEL006514-RD
AAEL006514,AAEL006514-RE
AAEL006514,AAEL006514-RF
AAEL006514,AAEL006514-RG
AAEL006514,AAEL006514-RH
AAEL006515,AAEL006515-RA
AAEL006516,AAEL006516-RA
AAEL006516,AAEL006516-RB
AAEL006518,AAEL006518-RA
AAEL006519,AAEL006519-RA
AAEL006520,AAEL006520-RB
AAEL006521,AAEL006521-RA
AAEL006522,AAEL006522-RB
AAEL006522,AAEL006522-RC
AAEL006522,AAEL006522-RD
AAEL006522,AAEL006522-RE
AAEL006522,AAEL006522-RF
AAEL006522,AAEL006522-RG
AAEL006522,AAEL006522-RH
AAEL006522,AAEL006522-RI
AAEL006522,AAEL006522-RJ
AAEL006522,AAEL006522-RK
AAEL006522,AAEL006522-RL
AAEL006523,AAEL006523-RA
AAEL006524,AAEL006524-RB
AAEL006525,AAEL006525-RA
AAEL006525,AAEL006525-RB
AAEL006525,AAEL006525-RC
AAEL006526,AAEL006526-RA
AAEL006532,AAEL006532-RB
AAEL006533,AAEL006533-RA
AAEL006533,AAEL006533-RB
AAEL006534,AAEL006534-RB
AAEL006535,AAEL006535-RA
AAEL006535,AAEL006535-RB
AAEL006536,AAEL006536-RB
AAEL006537,AAEL006537-RB
AAEL006538,AAEL006538-RD
AAEL006538,AAEL006538-RE
AAEL006538,AAEL006538-RF
AAEL006538,AAEL006538-RG
AAEL006538,AAEL006538-RH
AAEL006539,AAEL006539-RA
AAEL006539,AAEL006539-RB
AAEL006539,AAEL006539-RC
AAEL006539,AAEL006539-RD
AAEL006539,AAEL006539-RE
AAEL006539,AAEL006539-RF
AAEL006540,AAEL006540-RA
AAEL006541,AAEL006541-RB
AAEL006542,AAEL006542-RA
AAEL006543,AAEL006543-RB
AAEL006543,AAEL006543-RC
AAEL006543,AAEL006543-RD
AAEL006543,AAEL006543-RE
AAEL006547,AAEL006547-RA
AAEL006548,AAEL006548-RA
AAEL006549,AAEL006549-RA
AAEL006550,AAEL006550-RA
AAEL006550,AAEL006550-RB
AAEL006551,AAEL006551-RA
AAEL006552,AAEL006552-RA
AAEL006552,AAEL006552-RB
AAEL006552,AAEL006552-RC
AAEL006552,AAEL006552-RD
AAEL006552,AAEL006552-RE
AAEL006553,AAEL006553-RA
AAEL006556,AAEL006556-RA
AAEL006556,AAEL006556-RB
AAEL006557,AAEL006557-RA
AAEL006560,AAEL006560-RA
AAEL006563,AAEL006563-RA
AAEL006564,AAEL006564-RA
AAEL006564,AAEL006564-RB
AAEL006566,AAEL006566-RA
AAEL006567,AAEL006567-RB
AAEL006567,AAEL006567-RC
AAEL006567,AAEL006567-RD
AAEL006567,AAEL006567-RE
AAEL006567,AAEL006567-RF
AAEL006567,AAEL006567-RG
AAEL006567,AAEL006567-RH
AAEL006567,AAEL006567-RI
AAEL006567,AAEL006567-RJ
AAEL006568,AAEL006568-RA
AAEL006570,AAEL006570-RA
AAEL006571,AAEL006571-RB
AAEL006572,AAEL006572-RA
AAEL006572,AAEL006572-RC
AAEL006572,AAEL006572-RD
AAEL006575,AAEL006575-RB
AAEL006575,AAEL006575-RC
AAEL006575,AAEL006575-RD
AAEL006575,AAEL006575-RE
AAEL006576,AAEL006576-RA
AAEL006577,AAEL006577-RA
AAEL006581,AAEL006581-RA
AAEL006582,AAEL006582-RB
AAEL006582,AAEL006582-RC
AAEL006582,AAEL006582-RD
AAEL006582,AAEL006582-RE
AAEL006582,AAEL006582-RF
AAEL006582,AAEL006582-RG
AAEL006582,AAEL006582-RH
AAEL006584,AAEL006584-RA
AAEL006585,AAEL006585-RA
AAEL006587,AAEL006587-RA
AAEL006589,AAEL006589-RA
AAEL006589,AAEL006589-RB
AAEL006589,AAEL006589-RC
AAEL006589,AAEL006589-RD
AAEL006593,AAEL006593-RB
AAEL006593,AAEL006593-RC
AAEL006597,AAEL006597-RA
AAEL006601,AAEL006601-RB
AAEL006601,AAEL006601-RC
AAEL006601,AAEL006601-RD
AAEL006602,AAEL006602-RA
AAEL006603,AAEL006603-RA
AAEL006605,AAEL006605-RA
AAEL006606,AAEL006606-RB
AAEL006607,AAEL006607-RA
AAEL006609,AAEL006609-RB
AAEL006610,AAEL006610-RA
AAEL006611,AAEL006611-RA
AAEL006613,AAEL006613-RA
AAEL006614,AAEL006614-RB
AAEL006615,AAEL006615-RB
AAEL006617,AAEL006617-RA
AAEL006619,AAEL006619-RA
AAEL006619,AAEL006619-RB
AAEL006619,AAEL006619-RC
AAEL006620,AAEL006620-RB
AAEL006620,AAEL006620-RC
AAEL006623,AAEL006623-RB
AAEL006623,AAEL006623-RC
AAEL006624,AAEL006624-RA
AAEL006625,AAEL006625-RA
AAEL006627,AAEL006627-RA
AAEL006628,AAEL006628-RA
AAEL006628,AAEL006628-RB
AAEL006628,AAEL006628-RC
AAEL006630,AAEL006630-RA
AAEL006630,AAEL006630-RB
AAEL006633,AAEL006633-RA
AAEL006633,AAEL006633-RB
AAEL006633,AAEL006633-RC
AAEL006634,AAEL006634-RA
AAEL006635,AAEL006635-RB
AAEL006635,AAEL006635-RC
AAEL006636,AAEL006636-RA
AAEL006636,AAEL006636-RB
AAEL006637,AAEL006637-RA
AAEL006639,AAEL006639-RA
AAEL006640,AAEL006640-RA
AAEL006641,AAEL006641-RA
AAEL006642,AAEL006642-RA
AAEL006643,AAEL006643-RA
AAEL006644,AAEL006644-RA
AAEL006644,AAEL006644-RB
AAEL006644,AAEL006644-RC
AAEL006644,AAEL006644-RD
AAEL006645,AAEL006645-RA
AAEL006646,AAEL006646-RA
AAEL006647,AAEL006647-RA
AAEL006647,AAEL006647-RB
AAEL006648,AAEL006648-RA
AAEL006648,AAEL006648-RB
AAEL006649,AAEL006649-RA
AAEL006650,AAEL006650-RB
AAEL006650,AAEL006650-RC
AAEL006650,AAEL006650-RD
AAEL006650,AAEL006650-RE
AAEL006650,AAEL006650-RF
AAEL006650,AAEL006650-RG
AAEL006650,AAEL006650-RH
AAEL006650,AAEL006650-RI
AAEL006650,AAEL006650-RJ
AAEL006650,AAEL006650-RK
AAEL006650,AAEL006650-RL
AAEL006650,AAEL006650-RM
AAEL006650,AAEL006650-RN
AAEL006650,AAEL006650-RO
AAEL006650,AAEL006650-RP
AAEL006650,AAEL006650-RQ
AAEL006650,AAEL006650-RR
AAEL006650,AAEL006650-RS
AAEL006650,AAEL006650-RT
AAEL006650,AAEL006650-RU
AAEL006650,AAEL006650-RV
AAEL006650,AAEL006650-RW
AAEL006650,AAEL006650-RX
AAEL006652,AAEL006652-RD
AAEL006652,AAEL006652-RE
AAEL006652,AAEL006652-RF
AAEL006653,AAEL006653-RB
AAEL006654,AAEL006654-RA
AAEL006655,AAEL006655-RB
AAEL006656,AAEL006656-RB
AAEL006656,AAEL006656-RC
AAEL006659,AAEL006659-RA
AAEL006660,AAEL006660-RA
AAEL006661,AAEL006661-RA
AAEL006663,AAEL006663-RB
AAEL006663,AAEL006663-RC
AAEL006665,AAEL006665-RA
AAEL006666,AAEL006666-RA
AAEL006667,AAEL006667-RA
AAEL006667,AAEL006667-RB
AAEL006667,AAEL006667-RC
AAEL006667,AAEL006667-RD
AAEL006667,AAEL006667-RE
AAEL006667,AAEL006667-RF
AAEL006667,AAEL006667-RG
AAEL006667,AAEL006667-RH
AAEL006667,AAEL006667-RI
AAEL006667,AAEL006667-RJ
AAEL006667,AAEL006667-RK
AAEL006667,AAEL006667-RL
AAEL006667,AAEL006667-RM
AAEL006668,AAEL006668-RA
AAEL006669,AAEL006669-RA
AAEL006672,AAEL006672-RA
AAEL006672,AAEL006672-RB
AAEL006674,AAEL006674-RA
AAEL006675,AAEL006675-RB
AAEL006675,AAEL006675-RC
AAEL006675,AAEL006675-RD
AAEL006675,AAEL006675-RE
AAEL006675,AAEL006675-RF
AAEL006676,AAEL006676-RA
AAEL006676,AAEL006676-RB
AAEL006677,AAEL006677-RA
AAEL006678,AAEL006678-RA
AAEL006679,AAEL006679-RB
AAEL006682,AAEL006682-RB
AAEL006682,AAEL006682-RC
AAEL006682,AAEL006682-RD
AAEL006682,AAEL006682-RE
AAEL006682,AAEL006682-RF
AAEL006682,AAEL006682-RG
AAEL006684,AAEL006684-RA
AAEL006684,AAEL006684-RB
AAEL006685,AAEL006685-RA
AAEL006685,AAEL006685-RB
AAEL006686,AAEL006686-RA
AAEL006687,AAEL006687-RB
AAEL006687,AAEL006687-RC
AAEL006688,AAEL006688-RA
AAEL006689,AAEL006689-RA
AAEL006689,AAEL006689-RB
AAEL006690,AAEL006690-RB
AAEL006691,AAEL006691-RA
AAEL006692,AAEL006692-RA
AAEL006693,AAEL006693-RA
AAEL006693,AAEL006693-RB
AAEL006694,AAEL006694-RA
AAEL006696,AAEL006696-RA
AAEL006697,AAEL006697-RA
AAEL006698,AAEL006698-RA
AAEL006699,AAEL006699-RA
AAEL006700,AAEL006700-RA
AAEL006702,AAEL006702-RA
AAEL006702,AAEL006702-RB
AAEL006703,AAEL006703-RA
AAEL006704,AAEL006704-RA
AAEL006705,AAEL006705-RA
AAEL006707,AAEL006707-RA
AAEL006708,AAEL006708-RA
AAEL006711,AAEL006711-RA
AAEL006711,AAEL006711-RB
AAEL006711,AAEL006711-RC
AAEL006711,AAEL006711-RD
AAEL006711,AAEL006711-RE
AAEL006711,AAEL006711-RF
AAEL006711,AAEL006711-RG
AAEL006711,AAEL006711-RH
AAEL006711,AAEL006711-RI
AAEL006711,AAEL006711-RJ
AAEL006712,AAEL006712-RA
AAEL006713,AAEL006713-RA
AAEL006715,AAEL006715-RA
AAEL006717,AAEL006717-RA
AAEL006717,AAEL006717-RB
AAEL006718,AAEL006718-RA
AAEL006719,AAEL006719-RA
AAEL006720,AAEL006720-RA
AAEL006721,AAEL006721-RB
AAEL006721,AAEL006721-RC
AAEL006721,AAEL006721-RD
AAEL006721,AAEL006721-RE
AAEL006721,AAEL006721-RF
AAEL006721,AAEL006721-RG
AAEL006721,AAEL006721-RH
AAEL006721,AAEL006721-RI
AAEL006722,AAEL006722-RA
AAEL006723,AAEL006723-RB
AAEL006723,AAEL006723-RC
AAEL006723,AAEL006723-RD
AAEL006723,AAEL006723-RE
AAEL006723,AAEL006723-RF
AAEL006724,AAEL006724-RA
AAEL006725,AAEL006725-RA
AAEL006725,AAEL006725-RB
AAEL006726,AAEL006726-RA
AAEL006727,AAEL006727-RA
AAEL006727,AAEL006727-RB
AAEL006727,AAEL006727-RC
AAEL006728,AAEL006728-RA
AAEL006731,AAEL006731-RC
