,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AAEL000561,20.12762856,-0.351006282,0.378927205,-0.926315868,0.354281852,0.551778831
AAEL000562,38.51528292,0.254233723,0.281403368,0.903449467,0.366287397,0.563535717
AAEL000563,0,NA,NA,NA,NA,NA
AAEL000564,38.6028895,0.688208508,0.230143676,2.990342903,0.002786644,0.011148571
AAEL000566,3.398501589,-1.153415613,0.86083612,-1.339878272,0.180284923,0.347870703
AAEL000568,116.656691,0.368295268,0.161183723,2.284940824,0.022316298,0.067957746
AAEL000569,3.237394509,0.903312907,0.782251075,1.154760838,0.248188378,0.435816003
AAEL000571,1.812320905,1.41683312,1.058044628,1.339105254,0.18053641,0.348061749
AAEL000572,22.60716494,1.054248561,0.36980217,2.85084471,0.004360326,0.01664067
AAEL000574,150.5841646,0.513606988,0.214002377,2.400005996,0.016394803,0.052364093
AAEL000575,34.668618,0.314380094,0.246436785,1.27570279,0.202060602,0.377578693
AAEL000576,0.11528629,-0.57429631,3.53381767,-0.162514415,0.870900778,NA
AAEL000578,10.06838547,0.128533227,0.581379138,0.221083314,0.825027562,0.911533018
AAEL000579,21.60960045,-0.124514807,0.328174266,-0.379416729,0.70437843,0.839428712
AAEL000580,0,NA,NA,NA,NA,NA
AAEL000581,26.53490173,0.154468089,0.388033207,0.398079561,0.69057154,0.831857697
AAEL000582,0.106170223,0.868378712,3.53381767,0.245733876,0.805888247,NA
AAEL000583,14.6810109,0.234293322,0.45062849,0.519925674,0.60311538,0.769983581
AAEL000584,0,NA,NA,NA,NA,NA
AAEL000585,6.662752659,-5.853343489,1.293295112,-4.525914802,6.01E-06,4.19E-05
AAEL000589,228.2133442,0.147224596,0.166549116,0.883971044,0.376711844,0.573306901
AAEL000590,102.2888113,0.858095424,0.221344116,3.876748301,0.000105862,0.000590397
AAEL000593,3.245814783,0.524512472,0.790120664,0.663838443,0.506793718,0.693619114
AAEL000594,35.0941976,-0.022301176,0.26146937,-0.085291736,0.932029461,0.96596649
AAEL000595,3.378381815,-0.164857167,0.825386507,-0.199733296,0.841689172,0.918860161
AAEL000596,0.64979052,1.806556783,1.713985949,1.054009097,0.291878752,NA
AAEL000597,10.54195863,0.727402145,0.439456961,1.655229542,0.097877945,0.22354395
AAEL000599,5.887705227,4.609684174,0.908757569,5.072512549,3.93E-07,3.25E-06
AAEL000600,16.01200935,4.603352838,0.56855031,8.096649949,5.65E-16,1.12E-14
AAEL000603,0,NA,NA,NA,NA,NA
AAEL000604,3.591811958,0.287379764,0.823642394,0.348913274,0.72715442,0.854819252
AAEL000605,33.42824795,0.593356232,0.266628695,2.225402756,0.026054213,0.077298542
AAEL000609,3.433772924,2.255086901,0.915723564,2.462628451,0.013792276,0.045108286
AAEL000613,0,NA,NA,NA,NA,NA
AAEL000614,0,NA,NA,NA,NA,NA
AAEL000616,0,NA,NA,NA,NA,NA
AAEL000618,32.00490479,3.809014644,0.368415388,10.33891301,4.70E-25,1.76E-23
AAEL000622,312.6537522,0.085624486,0.185565621,0.461424295,0.644494225,0.800926252
AAEL000623,0,NA,NA,NA,NA,NA
AAEL000626,248.883221,1.13219684,0.209917417,5.393534539,6.91E-08,6.36E-07
AAEL000628,0,NA,NA,NA,NA,NA
AAEL000629,5.551516193,-0.073121788,0.715444055,-0.10220476,0.918594149,0.960422607
AAEL000630,0,NA,NA,NA,NA,NA
AAEL000631,0,NA,NA,NA,NA,NA
AAEL000633,2.948651522,-0.8999023,0.880512754,-1.022020744,0.306771083,0.498772422
AAEL000634,10.86427694,0.442456413,0.419395905,1.054985057,0.291432159,0.48321388
AAEL000635,38.51396228,0.076358711,0.277227973,0.275436531,0.782980882,0.887115191
AAEL000636,1.599928065,1.453276563,1.35894957,1.069411695,0.2848842,0.477115889
AAEL000637,0,NA,NA,NA,NA,NA
AAEL000641,2094.689029,-0.147087164,0.13014468,-1.130181919,0.258399577,0.44768846
AAEL000642,13.18319594,-2.697419071,0.703285746,-3.835452499,0.000125333,0.00068801
AAEL000643,21.68448698,0.050301161,0.35922733,0.140025985,0.888639459,0.94527839
AAEL000644,0.10749326,-0.57429631,3.53381767,-0.162514415,0.870900778,NA
AAEL000645,7.164490926,-0.195674634,0.593187395,-0.329869846,0.741498309,0.863781028
AAEL000646,3.04373721,0.686581257,0.822300993,0.834951268,0.403745147,0.599161013
AAEL000647,4025.06652,2.13746601,0.273476569,7.815901795,5.46E-15,9.94E-14
AAEL000649,23.28135371,-0.215134212,0.345873569,-0.622002462,0.533940249,0.714433393
AAEL000650,0.87311644,1.635494529,1.866178355,0.876387042,0.38081966,0.577321779
AAEL000651,256.8919165,0.829787,0.289720243,2.864097421,0.004181994,0.016069778
AAEL000652,0.106453728,0.868378712,3.53381767,0.245733876,0.805888247,NA
AAEL000654,179.5371853,-0.533027545,0.165083496,-3.228836055,0.001242951,0.005469768
AAEL000656,84.32075429,0.01975405,0.196690328,0.100432237,0.920001177,0.960818238
AAEL000658,2.262797217,-4.287567477,1.494811639,-2.8682995,0.004126847,0.015896107
AAEL000659,10.34697619,-0.718508325,0.503814356,-1.426137061,0.153828783,0.310978711
AAEL000660,12.28630331,0.260385718,0.445196198,0.584878575,0.558629365,0.735066317
AAEL000661,3.104121438,1.396616546,0.823103053,1.696769973,0.089740158,0.208579182
AAEL000663,55.21813126,-1.442496442,0.235628144,-6.12191913,9.25E-10,1.05E-08
AAEL000665,0,NA,NA,NA,NA,NA
AAEL000666,45.58638938,-0.11187909,0.236382268,-0.473297302,0.636001087,0.794778241
AAEL000667,10201.43819,2.979164199,0.282042956,10.56280305,4.43E-26,1.79E-24
AAEL000668,2.726794934,1.010236474,0.871309211,1.159446568,0.246274204,0.433880283
AAEL000669,0,NA,NA,NA,NA,NA
AAEL000670,88.85301577,-1.737500066,0.312909579,-5.55272251,2.81E-08,2.72E-07
AAEL000671,0,NA,NA,NA,NA,NA
AAEL000672,10.19327081,-0.11291392,0.451135608,-0.250288201,0.80236448,0.898821841
AAEL000673,52.91770926,0.46222844,0.221870538,2.083325011,0.037221608,0.103227189
AAEL000674,20.17663951,-0.557889652,0.348759033,-1.599642158,0.10967799,0.243724024
AAEL000677,57.78687695,-0.655440559,0.218666507,-2.997443773,0.002722541,0.010915543
AAEL000678,7.545846798,-0.930107739,0.689998724,-1.347984723,0.177663296,0.344961101
AAEL000679,220.4319681,-0.445577708,0.17127872,-2.601477337,0.00928232,0.032174489
AAEL000682,99.20925386,-0.292800768,0.233103101,-1.256099841,0.209079774,0.386667115
AAEL000683,0,NA,NA,NA,NA,NA
AAEL000685,17.24906642,0.005633559,0.356548598,0.015800255,0.987393745,0.992659136
AAEL000686,0,NA,NA,NA,NA,NA
AAEL000687,345.8928307,1.444913038,0.263672892,5.47994534,4.25E-08,4.03E-07
AAEL000689,7.62071649,1.278635514,0.512674019,2.494051709,0.012629414,0.041843589
AAEL000690,0,NA,NA,NA,NA,NA
AAEL000692,12.73085089,0.082896105,0.526210331,0.157534164,0.874823885,0.938168282
AAEL000694,0,NA,NA,NA,NA,NA
AAEL000697,2.348001655,-0.795921766,1.106547945,-0.719283579,0.471966211,0.665010859
AAEL000698,0.319361184,2.373319799,3.432609391,0.691403981,0.489311703,NA
AAEL000699,7.734759257,-0.534330853,0.69938754,-0.763998245,0.444868288,0.639891587
AAEL000701,54.69078886,-0.732508658,0.252709102,-2.898623958,0.003748041,0.014600859
AAEL000703,33.51531903,0.186045717,0.450911391,0.412599283,0.679900227,0.824820505
AAEL000704,10.87634041,1.502327827,0.547396292,2.744497632,0.006060359,0.022277099
AAEL000705,9.343986473,1.412091007,0.553491085,2.551244357,0.010733904,0.036504414
AAEL000706,97.87837624,0.719310544,0.255184092,2.818790696,0.004820494,0.018210393
AAEL000707,29.80673149,-0.285155624,0.278199765,-1.02500311,0.30536172,0.497063567
AAEL000708,41.22641631,-1.234380323,0.299091938,-4.127093267,3.67E-05,0.000222536
AAEL000709,154.8921846,-1.028343383,0.265869718,-3.867846965,0.000109801,0.000609627
AAEL000713,317.5968026,-2.17042044,0.167010034,-12.99574876,1.29E-38,1.15E-36
AAEL000714,11.32095598,1.576404231,0.431455223,3.653691384,0.000258497,0.001332961
AAEL000715,0,NA,NA,NA,NA,NA
AAEL000716,91.87111589,-0.839422584,0.223740903,-3.751761855,0.000175596,0.000938135
AAEL000717,4.325336734,3.189444403,0.817448813,3.901705345,9.55E-05,0.000537802
AAEL000719,28.80691025,0.687932857,0.273082516,2.519139153,0.011764215,0.039432691
AAEL000720,13.08704971,0.358781997,0.422184734,0.849822287,0.395423897,0.590811065
AAEL000721,9.833617332,0.257181282,0.518873374,0.495653264,0.620139066,0.782313733
AAEL000722,22.22545496,-0.489640562,0.399495325,-1.225647791,0.220331245,0.402046995
AAEL000723,0,NA,NA,NA,NA,NA
AAEL000724,24.44718686,0.19727824,0.365943995,0.539094076,0.589821943,0.760148359
AAEL000725,0,NA,NA,NA,NA,NA
AAEL000726,0.11528629,-0.57429631,3.53381767,-0.162514415,0.870900778,NA
AAEL000729,27.33627272,0.699977638,0.383703428,1.824267356,0.068111663,0.167402128
AAEL000730,22.17862217,-0.147377255,0.304957753,-0.483271054,0.62890329,0.7892701
AAEL000732,0.344030287,-1.570026743,3.531131787,-0.444624228,0.656591336,NA
AAEL000733,4.401584971,-3.345865481,1.339963108,-2.496983282,0.012525486,0.041560827
AAEL000735,20.63061836,1.238576151,0.334100649,3.707194692,0.000209568,0.001101734
AAEL000739,0.335523748,-0.093401003,3.173002357,-0.029436159,0.976516734,NA
AAEL000744,190.0267129,1.127013055,0.224440388,5.021436045,5.13E-07,4.16E-06
AAEL000746,219.1970305,-0.484926987,0.187022307,-2.592883149,0.00951751,0.032826896
AAEL000747,8.648797366,0.613135723,0.484604384,1.265229419,0.2057891,0.382434748
AAEL000748,0.344030287,-1.570026743,3.531131787,-0.444624228,0.656591336,NA
AAEL000749,0,NA,NA,NA,NA,NA
AAEL000750,15.13535069,0.119663593,0.42284233,0.282998141,0.777178262,0.883456775
AAEL000751,0,NA,NA,NA,NA,NA
AAEL000752,201.2634371,0.007897042,0.148099313,0.053322612,0.957474864,0.975738403
AAEL000753,424.139969,-0.929475469,0.200557325,-4.634462825,3.58E-06,2.60E-05
AAEL000755,6.148884082,-0.54101859,0.679653847,-0.796020786,0.426019954,0.621008359
AAEL000757,1561.655577,2.334458418,0.291520672,8.007865795,1.17E-15,2.26E-14
AAEL000758,440.9562885,-0.064520904,0.128832236,-0.500813349,0.61650249,0.780098545
AAEL000759,72.03768201,0.454826834,0.223271925,2.037098187,0.041640204,0.113289722
AAEL000760,4.107919932,2.64684766,0.823010243,3.216056764,0.001299651,0.005687945
AAEL000762,0,NA,NA,NA,NA,NA
AAEL000769,0.444340046,-1.946500156,2.944359033,-0.661094702,0.508551583,NA
AAEL000770,111.5277688,0.27436739,0.208875593,1.313544519,0.18899953,0.359665205
AAEL000776,2.357927497,-4.353025767,3.448570075,-1.262269773,0.206851729,0.383795113
AAEL000780,0.11528629,-0.57429631,3.53381767,-0.162514415,0.870900778,NA
AAEL000781,1.111265639,-0.315309241,1.50261308,-0.209840607,0.833792079,0.915336311
AAEL000782,29.18812259,-0.961879738,0.320763697,-2.998717586,0.002711185,0.010877815
AAEL000785,20.73098791,-0.102137381,0.378423237,-0.269902507,0.787235258,0.890146511
AAEL000786,0.642260355,2.613843366,1.841520967,1.419393758,0.155784251,NA
AAEL000787,4.232677149,0.838144751,0.745287761,1.124592131,0.26076191,0.450392288
AAEL000788,2.041300267,1.679695106,1.037875997,1.618396717,0.105577129,0.236680725
AAEL000791,104.7536976,-0.638204802,0.207715811,-3.072490233,0.002122808,0.008778564
AAEL000793,20.35097345,-3.962490307,2.619191367,-1.51286781,NA,NA
AAEL000795,1448.57116,0.007057797,0.134712321,0.052391625,0.958216647,0.976111738
AAEL000797,3.606217015,0.097150285,0.711736767,0.136497494,0.891428006,0.946190092
AAEL000800,137.4519074,-3.81635196,0.292302835,-13.05615789,5.86E-39,5.37E-37
AAEL000801,0,NA,NA,NA,NA,NA
AAEL000802,63.17273601,-0.015257204,0.201634356,-0.075667681,0.939683489,0.968589646
AAEL000803,0.846003041,1.653930036,1.613659563,1.024955991,0.305383954,NA
AAEL000804,16.46012705,0.252863475,0.36631716,0.69028564,0.490014577,0.680614985
AAEL000805,49.45256753,0.733327604,0.249401507,2.940349533,0.003278422,0.012912756
AAEL000807,76.71809586,-0.025603579,0.270780973,-0.094554572,0.924668634,0.962580045
AAEL000808,0,NA,NA,NA,NA,NA
AAEL000809,1.992315389,3.322134911,1.22183588,2.718969842,0.006548558,0.02383658
AAEL000810,1.70374542,0.922194511,1.078072044,0.855410839,0.392323745,0.587828503
AAEL000811,74.52915345,0.235138971,0.203730902,1.15416448,0.248432742,0.436070914
AAEL000812,58.14797412,-0.313318915,0.212233026,-1.476296696,0.139864261,0.290483314
AAEL000813,0.221456513,0.387488373,3.53381767,0.10965149,0.912685774,NA
AAEL000815,13.09901147,0.323167915,0.473868854,0.681977539,0.495253154,0.68496237
AAEL000820,42.06394507,0.23206464,0.266758829,0.86994174,0.384332243,0.579660527
AAEL000821,0.207203516,1.753149823,3.485584518,0.502971543,0.61498428,NA
AAEL000822,24.69119439,0.524525415,0.302895484,1.731704308,0.083326223,0.196282669
AAEL000823,6983.499997,-1.411321624,0.149791513,-9.421906437,4.43E-21,1.26E-19
AAEL000824,190.0373534,0.190653344,0.146842024,1.298356823,0.194164749,0.367179366
AAEL000825,64.55776366,-0.367035258,0.244933828,-1.498507824,0.134001361,0.281866671
AAEL000826,0.106170223,0.868378712,3.53381767,0.245733876,0.805888247,NA
AAEL000827,0,NA,NA,NA,NA,NA
AAEL000829,36.96168153,0.263449979,0.321502892,0.819432688,0.412539592,0.607935914
AAEL000832,25.00216339,-0.742938448,0.329571231,-2.25425759,0.024179968,0.072682903
AAEL000833,0.887358291,0.167042841,1.720402195,0.097095227,0.922650772,0.961944371
AAEL000834,0.988328426,1.210166221,1.629172594,0.742810324,0.457596524,0.651163698
AAEL000835,0,NA,NA,NA,NA,NA
AAEL000836,12.0364382,-0.5779207,0.490341278,-1.178609115,0.23855386,0.424289688
AAEL000837,0,NA,NA,NA,NA,NA
AAEL000839,5.546223746,0.503634573,0.639559559,0.787470949,0.431006228,0.62623592
AAEL000840,310.2585377,0.040634394,0.13248603,0.306707006,0.759066396,0.873273296
AAEL000842,21.03973296,-4.625844265,0.78684148,-5.879004071,4.13E-09,4.34E-08
AAEL000843,0,NA,NA,NA,NA,NA
AAEL000844,33.6998884,-0.526748863,0.27848741,-1.891463826,0.058562455,0.148828495
AAEL000845,219.1146194,-1.693382059,0.17384492,-9.740762419,2.02E-22,6.40E-21
AAEL000846,0,NA,NA,NA,NA,NA
AAEL000847,242.3929284,-1.106574666,0.239532103,-4.61973428,3.84E-06,2.77E-05
AAEL000849,0,NA,NA,NA,NA,NA
AAEL000850,19.06471198,1.503047603,0.340609431,4.412818513,1.02E-05,6.84E-05
AAEL000851,137.9058639,0.114584382,0.256961731,0.445920029,0.655655014,0.808648752
AAEL000852,64.46274287,-0.242333631,0.235748278,-1.027933834,0.303980953,0.495642317
AAEL000853,0.30309988,2.304820223,3.437439511,0.670504955,0.502535949,NA
AAEL000854,165.7296706,-0.026856803,0.162440391,-0.165333283,0.868681664,0.934449097
AAEL000855,3.530664485,1.009906579,0.769053686,1.313180857,0.189122013,0.359731226
AAEL000856,28.10476649,0.400250317,0.323938167,1.235576283,0.216616105,0.396886988
AAEL000857,12.38243196,-0.13329777,0.427320078,-0.311938935,0.755086932,0.871979973
AAEL000859,2215.638945,-0.323308718,0.313734825,-1.030515877,0.302767903,0.494770161
AAEL000860,39.70188746,1.963616337,0.244316566,8.037180472,9.19E-16,1.80E-14
AAEL000861,336.8433023,1.230328173,0.24241513,5.075294486,3.87E-07,3.21E-06
AAEL000863,117.2366568,0.491051607,0.247655074,1.982804544,0.047389266,0.125659658
AAEL000867,5.784603879,0.283941295,0.677880346,0.418866392,0.67531378,0.821782423
AAEL000869,0,NA,NA,NA,NA,NA
AAEL000870,0,NA,NA,NA,NA,NA
AAEL000871,0.115695654,-0.57429631,3.53381767,-0.162514415,0.870900778,NA
AAEL000873,0.338475205,-1.541069746,2.665996185,-0.578046494,0.56323273,NA
AAEL000874,8.832535489,-1.212568622,0.545785263,-2.221695423,0.026303896,0.077887313
AAEL000875,43.09203438,-0.223057515,0.254158397,-0.877631893,0.380143516,0.576995647
AAEL000876,0,NA,NA,NA,NA,NA
AAEL000878,0,NA,NA,NA,NA,NA
AAEL000881,0,NA,NA,NA,NA,NA
AAEL000882,0,NA,NA,NA,NA,NA
