,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AAEL019690,67.42128783,1.360403353,0.220494746,-6.169776722,6.84E-10,3.78E-09
AAEL019691,53.90364822,2.022692715,0.35618942,-5.678699592,1.36E-08,6.79E-08
AAEL019692,77.94358672,4.883783591,0.316589447,-15.4262362,1.09E-53,4.49E-52
AAEL019693,0.450620781,0.247408075,1.987387437,-0.124489101,0.900928029,NA
AAEL019694,91.88615994,2.865010245,0.221225603,-12.95062687,2.33E-38,5.34E-37
AAEL019695,0.070458926,-0.050796948,3.225918525,0.015746507,0.987436625,NA
AAEL019696,13.50202253,1.942047465,0.418853402,-4.636580378,3.54E-06,1.39E-05
AAEL019697,299.0721724,3.223035589,0.226265016,-14.24451577,4.85E-46,1.47E-44
AAEL019698,6.156226105,-0.064990792,0.712080539,0.091268878,0.927278947,0.950385898
AAEL019699,30.87602152,0.310738284,0.262650004,-1.183088824,0.236773947,0.349220207
AAEL019700,646.4601491,0.352482724,0.090828952,-3.880730939,0.000104143,0.0003409
AAEL019701,4.650002362,2.119294516,0.681688664,-3.108889185,0.001877921,0.005032686
AAEL019702,2.166647311,4.584629464,1.229218539,-3.729710638,0.0001917,0.000604996
AAEL019703,1.175957273,1.045437084,1.561381401,-0.669559074,0.503138911,0.620259571
AAEL019704,62.38306987,-0.893395379,0.199856004,4.470195358,7.81E-06,2.95E-05
AAEL019705,1.797644072,-0.163651397,1.156399178,0.141518085,0.887460674,0.921504248
AAEL019706,6.411839732,2.340242222,0.577631458,-4.051445239,5.09E-05,0.000173902
AAEL019707,30.43457079,1.736351336,0.262708332,-6.609426218,3.86E-11,2.34E-10
AAEL019708,4.481675417,1.614641516,0.746989131,-2.161532811,0.030654205,0.06295841
AAEL019709,2.424227889,4.748243306,1.109184305,-4.280842494,1.86E-05,6.72E-05
AAEL019710,22.6995926,2.083822661,0.323335196,-6.44477523,1.16E-10,6.79E-10
AAEL019711,54.09088306,1.709931369,0.192688987,-8.874048235,7.05E-19,6.68E-18
AAEL019712,31.29640218,3.203156871,0.350483992,-9.13923872,6.29E-20,6.25E-19
AAEL019713,56.33289403,1.326762745,0.270855261,-4.898419693,9.66E-07,4.03E-06
AAEL019714,29.2930635,1.054519201,0.243939756,-4.322867316,1.54E-05,5.61E-05
AAEL019715,7.048749577,0.180313335,0.522238091,-0.345270362,0.729891126,0.805423413
AAEL019716,120.9407447,3.554085077,0.21940149,-16.19900153,5.13E-59,2.64E-57
AAEL019717,3439.397702,-0.994882211,0.171781995,5.791539499,6.97E-09,3.57E-08
AAEL019718,108.1636451,1.796495714,0.265342125,-6.770488142,1.28E-11,8.07E-11
AAEL019719,345.2354937,0.366867788,0.2960802,-1.239082477,0.215314955,0.324136644
AAEL019720,353.322359,2.038477975,0.232592422,-8.764163343,1.88E-18,1.75E-17
AAEL019721,114.7836775,3.832862233,0.203002089,-18.88090044,1.64E-79,1.54E-77
AAEL019722,14.75967693,-3.696087133,0.615532713,6.004696511,1.92E-09,1.02E-08
