,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AAEL000442,2.452579912,-1.317226562,1.615162488,-0.81553811,0.414764359,0.599654128
AAEL000444,113.0880426,-0.060864273,0.261960874,-0.232341081,0.816273107,0.896918508
AAEL000445,4.705767727,2.059211448,0.989016424,2.082080133,0.037335151,0.095712657
AAEL000448,21.31480291,-0.485420455,0.366429034,-1.324732513,0.185259885,0.335369747
AAEL000449,6.070406429,-0.847749151,0.692687157,-1.223855737,0.221006654,0.382230368
AAEL000450,66.50702471,-0.816297466,0.222891236,-3.662312972,0.000249948,0.00113314
AAEL000451,107.5539904,0.340645326,0.228277792,1.492240324,0.135636155,0.265693322
AAEL000452,48.05004679,0.012006373,0.274205138,0.043786098,0.965074909,0.98141053
AAEL000454,775.6324017,0.555094368,0.268592743,2.066676716,0.038764627,0.098696139
AAEL000455,0.126660844,-1.096190414,3.53381767,-0.310200049,0.756408833,NA
AAEL000457,0.210812662,-0.134405731,3.53381767,-0.038034144,0.969660459,NA
AAEL000458,848.2904496,0.754557875,0.120703087,6.251355214,4.07E-10,3.79E-09
AAEL000459,118.5362401,0.34795971,0.251398331,1.384097132,0.166328715,0.310532283
AAEL000460,45.11584554,0.662813848,0.33279193,1.991676447,0.04640657,0.114288356
AAEL000461,76.32688821,-1.667627818,0.269931898,-6.177957594,6.49E-10,5.94E-09
AAEL000462,0,NA,NA,NA,NA,NA
AAEL000463,0,NA,NA,NA,NA,NA
AAEL000464,99.1899032,3.78931387,0.334158197,11.33988003,8.33E-30,2.39E-28
AAEL000465,8.951516427,0.38435019,0.484512379,0.793272178,0.427619263,0.611808466
AAEL000467,116.131117,1.08096953,0.238410844,4.534061927,5.79E-06,3.43E-05
AAEL000468,67.16650096,-0.014732232,0.224881168,-0.065511185,0.947767001,0.971032037
AAEL000469,53.85925827,0.144683065,0.260373439,0.55567521,0.578432907,0.737957219
AAEL000471,7.502333292,0.82143546,0.572172777,1.435642333,0.151104142,0.288488018
AAEL000474,0.792351169,-0.955536544,1.827467715,-0.522874651,0.601061486,NA
AAEL000475,56.23726801,0.215028856,0.241365927,0.89088323,0.372991818,0.557636279
AAEL000476,3.565792553,1.447640869,0.774823096,1.868350179,0.061713277,0.143644714
AAEL000477,5.140328041,1.178174017,2.666581328,0.441829396,0.658612665,0.797780385
AAEL000478,43.13776786,0.026381915,0.343959234,0.076700704,0.938861645,0.966344088
AAEL000483,25.01982566,0.157339129,0.295100802,0.533170795,0.593915356,0.749825917
AAEL000484,1.627295781,3.353197528,1.418092651,2.364582825,0.018050391,0.051750335
AAEL000485,220.6337137,0.197675917,0.170399124,1.160075901,0.246017905,0.413019514
AAEL000486,378.6760319,0.437964864,0.146638037,2.986707086,0.002819998,0.010226507
AAEL000487,21.8554414,-0.223742894,0.316368346,-0.707222757,0.479428059,0.659812394
AAEL000488,15.55900068,1.691211061,0.597329067,2.831288741,0.004636085,0.015862613
AAEL000492,0.130275874,-1.096190414,3.53381767,-0.310200049,0.756408833,NA
AAEL000495,0.129811912,-1.096190414,3.53381767,-0.310200049,0.756408833,NA
AAEL000496,98.10783605,-2.366716841,0.390349522,-6.063070927,1.34E-09,1.18E-08
AAEL000498,0.380649941,1.366790404,2.545770605,0.53688671,0.591345872,NA
AAEL000500,2304.588481,-4.932139464,0.384961109,-12.81204606,1.40E-37,5.59E-36
AAEL000501,0,NA,NA,NA,NA,NA
AAEL000502,2.621734886,-1.130097374,1.05465445,-1.071533311,0.283929701,0.457373893
AAEL000504,0.909154137,0.685586899,1.823924614,0.375885546,0.707001987,0.828697796
AAEL000505,18.06848372,-1.674383681,0.500950051,-3.342416431,0.000830524,0.003398148
AAEL000507,0.711581312,0.796152961,1.755960769,0.453400198,0.650260594,NA
AAEL000508,4.867305937,0.917208534,0.712184417,1.287880655,0.19778751,0.352212211
AAEL000509,8.728183028,0.276160586,0.504143728,0.547781458,0.583841972,0.742308606
AAEL000510,32.94176295,0.357556752,0.311974007,1.146110714,0.251749345,0.420424801
AAEL000511,0.878574376,-0.354374957,1.587728198,-0.223196236,0.823382781,NA
AAEL000512,0.611940739,0.375225957,2.085524281,0.179919246,0.857215965,NA
AAEL000515,39.45930964,-1.46610275,0.337470032,-4.3443939,1.40E-05,7.80E-05
AAEL000516,386.1165905,-2.525285255,0.279385456,-9.038714091,1.59E-19,2.76E-18
AAEL000517,0,NA,NA,NA,NA,NA
AAEL000518,0,NA,NA,NA,NA,NA
AAEL000519,0.654910658,3.239410959,2.040670002,1.587425187,0.112416379,NA
AAEL000521,0,NA,NA,NA,NA,NA
AAEL000523,31.92351674,-0.072284993,0.344224904,-0.209993501,0.833672746,0.908601377
AAEL000528,0.246223798,1.827641355,2.835456829,0.644566807,0.519207951,NA
AAEL000529,10.17766141,-0.728981813,0.65056743,-1.120532292,0.262487,0.433356315
AAEL000530,0.256472756,-1.577081239,3.47321065,-0.454070138,0.649778346,NA
AAEL000533,0,NA,NA,NA,NA,NA
AAEL000534,0,NA,NA,NA,NA,NA
AAEL000536,0.935482724,-1.243829426,1.971254706,-0.630983618,0.528051236,0.699631789
AAEL000541,161.7124534,-2.138960673,0.253719507,-8.430414742,3.44E-17,5.19E-16
AAEL000542,0,NA,NA,NA,NA,NA
AAEL000543,10.53544583,2.774544055,0.858734545,3.230968255,0.001233716,0.004828642
AAEL000544,1.109258411,3.343841508,1.62175634,2.061864305,0.039220657,0.099538829
AAEL000545,0.483220732,2.801740884,3.384306732,0.827862575,0.407748332,NA
AAEL000546,1.837223774,-3.316574045,1.459354828,-2.27263033,0.023048466,0.063814188
AAEL000547,0.080536789,0.346484609,3.53381767,0.098048242,0.921893987,NA
AAEL000549,231.0357722,-3.477980771,0.249373844,-13.94685469,3.29E-44,1.60E-42
AAEL000550,40.45828147,-0.057970532,0.282739525,-0.205031581,0.837547451,0.910153953
AAEL000551,1600.445357,3.336469811,0.693780324,4.809115648,1.52E-06,9.76E-06
AAEL000552,0,NA,NA,NA,NA,NA
AAEL000554,0.211347902,-0.134405731,3.53381767,-0.038034144,0.969660459,NA
AAEL000556,0,NA,NA,NA,NA,NA
AAEL000558,25.65431603,1.373964983,0.355604505,3.863744589,0.000111662,0.000536609
AAEL000559,31.44618989,-0.369922171,0.289725491,-1.276802291,0.201672056,0.357359799
AAEL000561,27.48400696,0.457511205,0.31485206,1.453098972,0.146196277,0.281675537
AAEL000562,43.7273037,0.280434926,0.279567046,1.003104372,0.315810505,0.496178242
AAEL000563,0,NA,NA,NA,NA,NA
AAEL000564,35.62447766,-0.062915298,0.25980095,-0.242167313,0.808650522,0.893634301
AAEL000566,6.138544804,0.941027875,0.762274421,1.234500134,0.217016597,0.376603743
AAEL000568,117.0646042,-0.106019556,0.188616995,-0.562089092,0.57405532,0.734392277
AAEL000569,4.191715863,1.292623714,0.72920707,1.772642871,0.076287903,0.170988011
AAEL000571,2.267239243,1.662953303,0.964311459,1.724498126,0.084617957,0.185334613
AAEL000572,13.51094001,-2.671341253,0.601768839,-4.439148524,9.03E-06,5.17E-05
AAEL000574,180.0071715,0.708244213,0.240579811,2.943905441,0.00324099,0.011550238
AAEL000575,27.57230654,-1.795801252,0.384395039,-4.671759705,2.99E-06,1.84E-05
AAEL000576,0.127348768,-1.096190414,3.53381767,-0.310200049,0.756408833,NA
AAEL000578,7.578637927,-3.90061559,0.993848001,-3.924760712,8.68E-05,0.000425265
AAEL000579,27.34275364,0.354042022,0.308993931,1.145789564,0.251882234,0.420583701
AAEL000580,0,NA,NA,NA,NA,NA
AAEL000581,22.82034508,-1.414555673,0.443444483,-3.189927327,0.001423086,0.005485599
AAEL000582,0,NA,NA,NA,NA,NA
AAEL000583,14.11593863,-0.502443758,0.485868365,-1.034114987,0.301082411,0.478987594
AAEL000584,0.084687059,0.346484609,3.53381767,0.098048242,0.921893987,NA
AAEL000585,10.30589569,-0.429978001,0.503266229,-0.854374835,0.392897335,0.577326991
AAEL000589,242.2368862,-0.114621738,0.193328989,-0.592884383,0.55325853,0.718890745
AAEL000590,85.82131905,-0.252926628,0.228126261,-1.108713338,0.267553866,0.438925406
AAEL000593,11.45982006,3.126243281,0.56450786,5.537997793,3.06E-08,2.39E-07
AAEL000594,39.7297919,-0.003321191,0.247547829,-0.01341636,0.989295614,0.993039505
